n,p,k,ec_aktual,kelembapan_udara,kelembapan_tanah,suhu,fase,usia_hst,target_ec,vpd
189.57,52.66,150.01,1.627,69.96,35.96,25.31,0,38,1.49,0.9693
176.22,79.95,253.78,2.088,78.55,77.89,29.26,1,130,2.04,0.8722
153.75,57.73,277.53,2.108,79.47,65.23,26.33,1,120,1.66,0.7037
170.57,51.85,254.36,2.052,83.89,65.49,28.18,1,48,2.03,0.6154
247.72,63.67,200.13,1.529,95.0,52.25,27.58,0,22,1.74,0.1844
186.22,52.49,181.02,1.644,86.36,52.73,27.36,0,30,1.69,0.4967
213.43,48.44,181.6,1.629,95.0,46.67,25.94,0,20,1.71,0.1675
120.13,67.92,251.89,2.007,83.59,53.89,29.73,1,87,1.95,0.6856
156.81,67.76,245.71,2.064,78.23,62.29,29.02,1,106,2.03,0.873
141.36,51.3,236.2,1.847,85.99,40.26,25.84,1,68,2.23,0.4665
192.28,50.09,173.53,1.357,88.62,44.39,30.87,0,33,1.59,0.5075
146.68,65.91,278.28,2.143,92.08,57.21,27.3,1,49,1.8,0.2874
164.13,58.04,280.39,1.984,79.53,51.16,27.88,1,141,1.79,0.7684
191.48,53.51,151.57,1.65,86.02,75.07,25.28,0,43,1.72,0.4503
239.26,63.61,201.6,1.496,76.67,75.19,26.31,0,12,1.62,0.7987
189.23,50.31,176.77,1.751,88.2,48.48,26.02,0,12,1.78,0.3971
182.47,54.17,176.48,1.642,89.41,54.79,28.73,0,31,1.82,0.4176
207.65,62.13,190.14,1.578,83.51,83.71,26.87,0,26,1.67,0.5835
248.56,48.04,188.74,1.634,81.63,75.51,25.04,0,29,1.61,0.5833
187.72,56.85,165.96,1.391,82.05,41.86,30.28,0,23,1.64,0.7739
173.95,71.68,286.66,2.045,83.43,45.41,29.06,1,75,1.85,0.666
232.58,48.26,209.18,1.778,82.67,34.59,28.04,0,22,1.55,0.6566
201.85,44.11,181.56,1.638,85.64,67.28,25.28,0,43,1.72,0.4625
230.21,52.57,183.68,1.622,82.13,47.43,27.23,0,26,1.46,0.6458
194.0,48.92,183.26,1.562,88.07,59.51,27.12,0,9,1.83,0.4283
176.26,52.07,285.79,2.13,84.94,72.25,29.15,1,65,1.68,0.6085
198.57,64.34,206.71,1.748,75.11,75.98,30.53,0,43,1.64,1.0886
211.61,52.55,164.69,1.548,76.27,47.9,29.08,0,41,1.47,0.955
129.69,60.5,262.19,2.043,81.35,43.05,27.64,1,72,1.76,0.6903
233.34,44.88,205.77,1.628,89.32,76.67,24.3,0,10,1.79,0.3245
176.96,78.51,257.7,2.048,83.9,50.97,27.05,1,131,2.1,0.5757
244.99,59.86,194.95,1.507,80.28,75.21,26.67,0,23,1.6,0.6896
198.46,60.22,162.23,1.737,84.32,38.24,27.21,0,40,1.53,0.566
149.28,56.11,223.27,2.068,82.0,80.16,26.49,1,70,1.98,0.6228
166.99,61.4,291.71,2.144,85.64,56.57,29.18,1,111,1.68,0.5812
169.62,76.21,279.98,1.866,83.62,39.36,28.39,1,147,1.61,0.6334
183.26,59.74,207.06,1.473,81.05,59.43,27.64,0,43,1.58,0.7014
222.54,61.23,155.07,1.847,86.7,77.85,24.4,0,8,1.77,0.4065
172.02,65.24,256.77,2.138,89.03,51.41,27.82,1,146,2.22,0.4103
232.32,62.6,188.89,1.502,77.85,39.79,29.78,0,16,1.47,0.928
236.57,63.44,198.15,1.704,79.99,61.71,32.8,0,21,1.62,0.9953
218.65,54.82,164.49,1.544,85.32,75.9,24.25,0,43,1.72,0.4447
180.12,44.67,204.88,1.396,85.35,36.67,26.99,0,24,1.5,0.522
124.41,77.73,292.58,1.748,75.28,32.28,32.17,1,120,1.59,1.1867
232.42,53.71,201.97,1.597,83.21,33.1,27.61,0,41,1.39,0.6204
157.44,71.9,253.17,2.187,88.61,42.68,27.15,1,82,2.14,0.4097
212.53,60.37,180.93,1.783,75.5,30.4,30.35,0,43,1.37,1.0606
247.6,42.17,172.44,1.751,78.4,53.58,24.95,0,16,1.61,0.6822
200.87,55.18,156.21,1.7,80.23,68.38,23.12,0,35,1.56,0.5595
195.62,52.08,170.83,1.638,78.64,69.08,25.56,0,40,1.58,0.6995
164.61,54.17,290.67,2.138,85.13,65.02,28.16,1,116,1.77,0.5673
135.52,56.08,227.12,1.759,78.41,46.29,24.51,1,147,2.0,0.6642
127.45,73.43,274.36,2.119,80.4,70.48,28.46,1,92,1.71,0.7609
161.95,54.84,227.1,1.865,84.74,61.71,28.72,1,136,1.98,0.6014
170.58,59.37,279.91,1.89,81.62,77.36,31.07,1,92,1.66,0.829
121.19,58.55,270.28,2.084,76.78,56.29,31.99,1,62,1.63,1.1034
223.74,47.5,195.15,1.711,81.65,39.91,29.79,0,21,1.54,0.7693
221.78,54.2,151.37,1.527,83.54,64.91,27.22,0,9,1.68,0.5945
191.16,55.41,198.73,1.678,84.08,38.29,24.77,0,34,1.76,0.4974
224.42,50.43,209.4,1.668,82.65,82.97,26.44,0,15,1.54,0.5986
210.11,64.37,206.39,1.563,94.79,68.68,26.54,0,36,1.86,0.1808
181.3,43.3,200.16,1.618,86.85,71.6,27.45,0,29,1.79,0.4814
132.85,67.81,229.24,2.25,94.56,67.36,28.16,1,111,2.27,0.2076
249.25,50.76,166.69,1.566,80.1,35.37,27.69,0,22,1.52,0.7387
204.48,55.78,189.27,1.57,88.09,55.59,21.09,0,42,1.82,0.2978
247.59,50.18,191.74,1.618,78.12,65.83,25.24,0,36,1.62,0.7031
186.73,42.43,166.89,1.578,80.48,42.61,25.52,0,43,1.52,0.6378
171.12,68.31,269.47,2.095,89.09,67.37,31.03,1,80,1.84,0.491
188.0,50.4,173.82,1.776,81.0,75.09,26.55,0,34,1.57,0.6597
159.67,56.15,297.56,1.97,94.02,45.12,25.64,1,147,1.88,0.1968
169.57,73.2,229.57,1.897,80.62,40.98,22.95,1,111,2.01,0.5428
221.49,45.41,183.34,1.837,78.03,78.57,26.9,0,35,1.58,0.7787
234.26,42.51,203.95,1.614,82.09,30.29,26.34,0,43,1.47,0.6142
158.45,67.92,250.96,1.795,83.47,44.07,26.35,1,117,2.06,0.5672
172.49,66.44,247.9,2.223,89.83,52.37,24.76,1,118,2.27,0.3176
159.63,68.24,229.98,2.135,85.56,66.97,26.88,1,79,2.03,0.5112
170.34,68.55,258.28,2.192,80.15,84.84,28.07,1,84,1.96,0.7534
195.77,55.6,153.3,1.772,83.14,50.4,26.32,0,35,1.62,0.5775
191.33,55.72,170.32,1.917,78.15,82.18,30.84,0,30,1.66,0.9727
208.0,40.0,165.53,1.476,81.64,50.17,23.65,0,25,1.59,0.5364
129.21,66.02,282.82,1.905,79.46,68.25,26.22,1,92,1.77,0.6995
175.62,68.52,269.85,1.941,85.24,39.1,30.44,1,81,1.7,0.6423
189.03,64.1,203.07,1.537,75.73,55.32,25.14,0,23,1.65,0.7753
187.43,49.0,185.36,1.615,92.31,77.92,25.86,0,23,1.83,0.2564
220.97,56.62,176.13,1.541,83.34,47.6,24.94,0,38,1.62,0.5259
197.0,44.2,166.23,1.457,80.26,35.79,25.98,0,22,1.53,0.6628
145.12,61.52,274.6,1.895,84.96,58.75,29.15,1,89,1.72,0.6077
151.63,68.12,254.48,1.965,90.62,54.17,27.01,1,112,2.14,0.3346
121.15,60.81,267.66,2.137,87.46,42.62,28.47,1,106,1.97,0.4871
203.25,52.27,206.2,1.531,88.71,79.81,23.67,0,8,1.8,0.3303
220.47,54.86,188.4,1.697,91.16,63.09,24.2,0,12,1.92,0.267
175.68,62.18,295.1,1.841,75.6,49.09,25.9,1,63,1.84,0.8154
125.26,74.94,289.31,1.616,79.3,84.79,28.44,1,135,1.69,0.8027
147.56,57.51,230.31,1.984,76.51,37.57,29.37,1,74,1.91,0.9612
176.85,51.58,220.93,1.927,87.91,76.64,28.57,1,93,2.18,0.4724
248.5,61.81,163.82,1.494,82.13,42.68,26.06,0,12,1.55,0.6028
234.52,54.77,185.8,1.48,87.92,43.17,26.46,0,39,1.8,0.4172
181.4,54.31,174.14,1.515,87.57,57.4,25.12,0,11,1.8,0.3966
218.04,42.79,158.99,1.482,78.97,66.41,26.91,0,34,1.53,0.7458
186.08,45.01,174.79,1.492,79.34,67.98,28.03,0,13,1.54,0.7823
242.66,46.32,168.62,1.437,93.03,31.22,23.27,0,25,1.55,0.199
167.17,62.31,233.2,1.744,81.59,45.78,24.48,1,139,1.94,0.5654
248.06,58.28,199.43,1.335,82.6,66.33,28.36,0,44,1.64,0.6716
222.59,51.52,179.91,1.895,80.48,78.94,25.67,0,44,1.67,0.6435
141.46,71.58,263.88,1.992,77.75,66.84,31.31,1,130,1.6,1.0174
216.33,50.98,180.3,1.783,78.35,44.62,32.13,0,25,1.53,1.037
207.05,44.07,195.27,1.579,79.92,57.93,26.29,0,33,1.66,0.6866
168.11,79.19,247.74,1.983,75.27,65.62,30.47,1,49,1.96,1.0779
224.48,44.16,182.81,1.637,86.41,37.44,25.02,0,13,1.68,0.431
245.31,52.06,178.75,1.677,79.1,59.97,26.86,0,44,1.57,0.7391
221.71,57.34,203.58,1.45,78.77,55.94,27.42,0,23,1.65,0.7758
240.0,45.7,183.36,1.554,78.6,48.52,26.89,0,35,1.68,0.7581
156.28,56.8,286.44,2.037,84.91,64.29,24.66,1,146,1.9,0.4684
131.35,78.94,221.0,1.768,87.94,64.99,26.98,1,65,2.18,0.4295
123.59,62.98,240.52,2.156,89.75,83.43,28.1,1,97,2.19,0.3897
173.83,50.05,251.0,2.128,78.45,53.56,28.25,1,81,2.04,0.8265
152.06,75.13,235.68,1.748,95.0,59.22,25.24,1,107,2.23,0.1607
185.7,48.23,154.07,1.495,79.05,38.66,26.03,0,39,1.49,0.7055
123.21,55.06,264.64,2.013,87.47,60.16,28.28,1,141,1.9,0.4814
249.59,63.22,150.12,1.701,79.54,31.98,27.06,0,34,1.46,0.732
148.28,58.74,243.55,2.183,76.7,38.24,29.38,1,102,1.87,0.954
160.11,77.84,254.71,1.924,79.69,39.42,26.77,1,136,1.83,0.7144
238.88,43.93,156.17,1.881,85.17,64.8,24.52,0,22,1.86,0.4565
225.41,57.72,201.37,1.594,87.69,61.2,25.23,0,36,1.69,0.3953
219.88,56.32,162.16,1.573,86.66,73.89,26.88,0,23,1.81,0.4723
229.53,61.81,169.58,1.667,78.4,55.54,27.09,0,20,1.6,0.7742
147.88,69.63,271.87,2.037,73.95,56.12,31.78,1,133,1.5,1.2233
168.09,60.03,243.79,2.031,75.83,38.89,30.09,1,107,1.87,1.0309
247.37,43.3,195.48,1.84,82.06,70.85,27.64,0,19,1.59,0.664
210.26,63.33,193.44,1.63,83.87,30.2,25.09,0,24,1.59,0.5137
226.58,50.67,152.64,1.482,81.67,53.37,23.42,0,13,1.6,0.5282
217.19,62.75,181.36,1.499,85.26,40.36,26.21,0,17,1.61,0.5017
183.83,47.36,184.53,1.777,95.0,72.41,25.61,0,23,1.81,0.1642
246.69,43.16,172.95,1.682,80.92,67.04,26.73,0,25,1.56,0.6696
161.01,78.97,265.53,1.813,80.35,68.87,27.76,1,54,1.67,0.7324
190.44,54.93,201.12,1.407,90.06,38.17,22.49,0,24,1.73,0.2708
248.72,61.13,151.38,1.603,81.55,66.78,25.72,0,16,1.56,0.61
141.14,63.25,281.3,2.074,88.53,68.0,24.8,1,57,1.9,0.359
213.06,62.87,173.65,1.519,78.92,30.15,27.77,0,7,1.56,0.7862
152.46,61.61,239.0,1.798,87.83,47.47,32.03,1,135,1.97,0.5796
137.55,51.35,248.21,1.865,83.85,34.8,28.19,1,118,1.89,0.6172
219.23,58.39,164.32,1.797,83.99,67.48,22.68,0,31,1.79,0.4412
185.16,46.85,185.21,1.66,78.35,41.67,29.12,0,32,1.63,0.8733
218.14,40.67,208.8,1.72,81.48,44.56,26.05,0,16,1.61,0.6244
218.69,49.13,208.48,1.74,88.97,34.31,28.22,0,42,1.67,0.4223
241.21,41.13,164.94,1.525,77.16,56.61,26.66,0,14,1.57,0.7982
173.45,69.41,260.82,1.955,78.77,31.82,28.21,1,132,1.57,0.8123
197.47,63.84,185.42,1.58,81.54,76.51,25.73,0,35,1.56,0.6107
242.19,58.38,175.2,1.65,85.55,31.45,24.3,0,40,1.61,0.439
220.13,58.17,195.7,1.731,79.74,33.39,29.34,0,33,1.51,0.8276
138.36,73.91,259.99,2.224,76.68,65.22,25.96,1,141,1.97,0.782
191.83,41.85,180.64,1.698,81.25,80.43,26.94,0,11,1.62,0.6662
240.04,60.05,188.79,1.699,80.93,79.07,28.97,0,17,1.6,0.7626
245.17,53.98,157.59,1.831,82.37,34.6,24.44,0,7,1.48,0.5401
123.37,58.55,289.53,1.975,87.78,45.86,25.72,1,138,1.88,0.404
245.85,59.49,179.31,1.743,89.31,58.66,25.32,0,26,1.73,0.3451
132.54,69.35,272.48,2.069,81.25,31.46,28.74,1,127,1.61,0.7399
125.47,65.8,229.04,2.074,83.99,59.08,27.4,1,127,2.0,0.5843
214.22,59.88,168.04,1.574,75.55,54.63,23.5,0,20,1.57,0.708
141.07,56.6,283.41,1.833,77.72,62.36,30.75,1,136,1.6,0.9868
226.82,60.67,183.18,1.641,86.24,80.62,29.2,0,17,1.59,0.5576
164.94,70.42,272.88,2.042,77.0,45.1,31.53,1,128,1.69,1.0649
126.75,53.45,281.81,1.931,80.13,65.15,26.32,1,142,1.76,0.6807
181.92,44.28,205.59,1.588,94.6,53.64,26.99,0,24,1.8,0.1924
193.99,58.6,169.07,1.494,93.28,53.93,25.91,0,11,1.86,0.2247
146.59,72.4,254.96,1.895,83.3,65.6,29.49,1,47,1.97,0.6881
191.73,50.12,198.13,1.542,89.71,82.32,26.1,0,9,1.79,0.3479
193.58,52.3,198.27,1.441,72.1,77.47,26.96,0,28,1.55,0.9924
207.4,53.74,187.13,1.53,77.65,65.17,28.79,0,12,1.59,0.8845
129.52,71.24,220.33,2.086,78.43,55.38,29.69,1,78,2.04,0.8991
151.05,61.67,243.64,2.175,78.57,53.32,30.84,1,114,2.04,0.954
202.38,47.31,160.59,1.849,83.96,73.29,23.44,0,27,1.81,0.4628
246.61,49.71,186.99,1.552,67.97,42.0,29.76,0,43,1.33,1.3405
225.2,52.51,152.99,1.744,86.25,62.32,25.75,0,40,1.73,0.4554
150.05,52.34,259.15,2.04,81.37,57.77,32.05,1,149,1.99,0.8883
212.78,49.84,176.24,1.572,95.0,65.71,22.72,0,42,1.77,0.1381
164.64,64.66,259.32,2.048,78.07,40.31,28.32,1,119,2.03,0.8445
196.31,47.15,193.99,1.732,81.17,68.27,24.42,0,7,1.62,0.5762
124.71,55.72,292.76,1.94,72.79,64.48,23.68,1,60,1.72,0.7965
216.95,41.84,152.69,1.537,82.43,39.91,26.23,0,32,1.47,0.5987
216.96,56.07,172.88,1.551,86.43,54.73,28.42,0,29,1.61,0.5256
233.32,44.36,159.53,1.525,80.22,67.32,26.92,0,40,1.62,0.7019
122.74,61.59,237.01,2.144,91.37,79.59,29.83,1,100,2.18,0.3626
157.93,72.38,289.41,1.908,80.44,36.72,28.64,1,94,1.59,0.7674
220.47,50.04,164.67,1.529,85.97,30.48,24.74,0,19,1.72,0.4376
174.46,71.31,255.89,2.037,76.65,39.08,26.71,1,126,1.85,0.8184
122.09,54.6,239.13,2.028,82.16,84.41,29.76,1,140,1.97,0.7466
122.35,71.87,263.0,1.951,69.98,72.26,30.69,1,142,1.47,1.3251
237.44,47.9,205.21,1.802,87.56,63.79,26.01,0,11,1.85,0.4184
224.64,48.54,194.89,1.524,87.27,37.32,26.5,0,9,1.67,0.4407
225.82,49.93,200.53,1.579,88.52,52.88,28.64,0,34,1.8,0.4504
162.96,50.77,276.73,1.769,76.21,69.34,29.1,1,92,1.73,0.9585
133.29,63.71,248.42,1.963,85.67,79.27,25.15,1,130,2.16,0.458
162.08,59.78,268.01,1.841,85.72,51.0,27.33,1,126,1.74,0.5191
219.43,46.14,195.26,1.49,85.96,84.98,26.39,0,11,1.85,0.4829
203.1,40.46,162.34,1.365,78.72,37.69,27.18,0,28,1.39,0.7668
134.33,74.77,229.46,1.893,71.1,51.28,27.16,1,112,2.02,1.0401
121.44,65.03,230.46,1.991,82.01,78.15,30.25,1,116,2.05,0.7743
122.63,74.21,259.59,1.971,81.09,65.75,28.5,1,109,1.98,0.7359
121.78,58.01,278.57,1.95,79.37,74.6,28.11,1,105,1.73,0.7848
168.04,66.82,272.58,1.961,85.18,79.93,29.05,1,142,1.63,0.5954
221.5,45.87,183.11,1.539,82.86,57.9,27.12,0,31,1.52,0.6154
191.24,61.94,162.74,1.596,79.79,42.91,23.46,0,37,1.58,0.5838
167.27,52.18,270.72,1.987,75.57,68.15,24.75,1,88,1.65,0.7624
149.7,66.75,270.26,2.033,76.7,60.99,27.95,1,82,1.72,0.8782
183.53,51.19,208.48,1.576,95.0,72.5,26.31,0,43,1.82,0.1712
213.62,64.65,199.48,1.548,88.19,58.14,25.47,0,8,1.89,0.3847
154.08,77.64,247.55,2.093,81.97,74.61,29.42,1,130,2.04,0.7399
210.33,48.85,160.86,1.672,82.85,79.61,26.38,0,21,1.57,0.5896
232.49,40.42,169.86,1.596,80.38,71.23,28.76,0,31,1.6,0.7751
212.12,52.12,172.78,1.743,89.33,70.9,26.67,0,16,1.81,0.3731
160.45,58.61,224.41,2.01,78.26,62.3,29.77,1,117,2.03,0.9103
158.77,77.62,281.42,1.981,85.32,55.94,27.85,1,47,1.6,0.5501
205.73,54.58,185.58,1.592,82.3,83.49,26.07,0,20,1.58,0.5974
136.02,53.11,237.58,2.02,90.93,65.48,29.19,1,61,2.25,0.3673
220.9,41.72,183.7,1.49,88.22,76.22,25.55,0,19,1.82,0.3856
222.53,58.88,150.54,1.375,91.05,57.8,25.2,0,25,1.8,0.2869
120.77,78.69,254.22,2.034,76.57,60.52,31.12,1,55,1.97,1.0598
130.89,62.67,247.18,2.1,88.21,66.46,27.31,1,137,2.19,0.4281
156.61,51.52,275.72,1.88,80.49,70.07,28.28,1,126,1.7,0.7496
169.02,68.57,298.13,2.129,81.07,54.66,29.98,1,134,1.65,0.8023
141.5,58.8,236.54,1.802,87.91,49.6,30.85,1,124,2.01,0.5385
204.22,47.3,201.3,1.533,79.22,43.17,25.63,0,30,1.6,0.6834
209.15,56.41,150.45,1.805,83.24,53.3,28.09,0,14,1.58,0.6368
235.83,60.64,165.68,1.643,86.38,41.62,25.91,0,39,1.78,0.4554
191.35,48.02,182.93,1.564,86.69,52.92,26.01,0,11,1.74,0.4477
168.83,71.04,248.16,2.03,79.06,78.11,29.1,1,87,2.06,0.8436
215.39,56.94,190.79,1.744,95.0,83.74,25.08,0,23,1.82,0.1591
121.78,51.13,278.43,1.827,77.55,61.74,26.08,1,140,1.71,0.7582
159.6,65.25,283.57,2.158,89.06,38.03,28.6,1,70,1.83,0.4282
144.87,64.66,239.81,1.941,86.68,53.52,29.89,1,46,1.86,0.5616
213.42,56.21,176.47,1.685,94.89,63.11,24.57,0,21,1.88,0.1578
156.86,75.97,262.22,1.926,71.72,50.39,30.93,1,61,1.37,1.2655
236.16,51.32,174.8,1.802,78.42,41.28,27.48,0,7,1.64,0.7913
248.09,61.2,169.13,1.596,91.13,42.48,26.48,0,24,1.8,0.3067
135.68,64.11,282.19,1.841,73.52,56.07,27.33,1,82,1.65,0.9625
241.21,40.92,152.79,1.656,72.35,41.9,30.13,0,40,1.61,1.182
180.08,61.99,176.35,1.756,81.83,43.72,25.81,0,8,1.62,0.6039
141.55,65.66,273.92,2.143,83.0,78.02,28.29,1,123,1.67,0.6535
195.03,49.16,183.32,1.611,92.53,72.85,25.48,0,11,1.86,0.2435
134.32,69.51,262.11,2.097,81.35,33.04,28.02,1,140,1.52,0.7058
158.12,56.36,269.13,1.949,78.15,47.61,29.23,1,119,1.65,0.8869
171.23,54.94,236.02,2.071,83.75,59.26,28.12,1,91,1.94,0.6185
208.86,50.59,201.72,1.644,85.35,33.33,27.22,0,10,1.43,0.5291
226.91,42.15,177.31,1.253,81.63,67.57,31.2,0,16,1.61,0.8347
158.92,62.21,275.51,1.88,80.18,51.14,29.36,1,91,1.78,0.8106
210.6,40.68,179.21,1.625,74.62,51.84,25.67,0,43,1.64,0.8366
141.94,79.35,225.6,2.02,74.07,44.59,32.04,1,86,1.78,1.2357
158.53,54.37,294.02,1.997,90.81,48.37,26.43,1,147,1.97,0.3169
121.69,69.58,275.6,2.011,86.37,77.39,24.52,1,143,1.95,0.4196
225.23,44.38,160.75,1.745,79.73,73.37,29.07,0,21,1.57,0.8152
188.12,42.53,197.55,1.642,93.61,81.47,21.65,0,24,1.79,0.1654
121.24,59.28,251.89,1.72,78.2,68.44,26.28,1,88,2.01,0.745
226.2,51.63,206.89,1.834,83.42,61.78,25.51,0,39,1.56,0.5414
218.24,56.06,198.61,1.371,82.36,44.26,28.69,0,42,1.55,0.694
165.55,68.01,279.13,2.115,76.84,66.68,31.61,1,138,1.74,1.0772
126.8,67.51,253.67,1.812,87.28,79.84,23.03,1,110,2.25,0.358
179.43,68.92,290.49,2.171,81.82,33.8,27.49,1,48,1.55,0.667
156.37,75.34,277.38,1.967,71.56,54.37,32.16,1,123,1.52,1.3645
242.27,48.59,206.46,1.646,86.52,38.21,24.32,0,25,1.72,0.41
134.95,72.12,295.02,1.762,76.18,74.58,27.42,1,75,1.64,0.8704
154.37,52.37,293.0,2.088,83.24,63.78,27.88,1,66,1.72,0.6291
226.93,64.58,153.09,1.65,90.32,78.38,26.72,0,29,1.83,0.3395
196.87,49.3,184.18,1.674,83.37,33.47,25.25,0,33,1.53,0.5347
159.69,71.35,274.08,2.114,73.91,79.82,30.82,1,105,1.69,1.1602
141.46,65.52,293.75,2.021,84.86,33.7,24.45,1,54,1.81,0.4641
143.29,57.52,254.43,1.975,77.2,45.82,29.04,1,111,2.01,0.9154
137.17,72.69,223.06,1.903,83.07,38.59,30.45,1,71,1.9,0.7371
222.83,51.02,195.32,1.547,83.37,38.0,25.99,0,30,1.54,0.5587
226.76,55.63,153.61,1.745,93.17,39.44,25.42,0,39,1.65,0.2218
131.44,68.87,264.19,1.899,85.26,56.41,31.17,1,57,1.66,0.6686
142.16,55.79,250.77,1.779,80.03,73.14,29.67,1,64,1.95,0.8314
171.23,60.73,264.64,1.881,86.65,79.41,27.14,1,59,1.95,0.4799
164.3,71.69,294.59,2.073,77.5,61.18,31.14,1,60,1.7,1.0189
235.43,40.07,163.22,1.564,80.48,38.68,30.21,0,19,1.47,0.8383
200.1,55.75,155.75,1.673,82.71,34.36,25.54,0,16,1.56,0.5656
124.49,73.0,266.47,1.76,87.46,57.18,26.52,1,108,1.89,0.4347
122.99,60.04,246.06,1.642,89.83,72.1,27.59,1,88,2.09,0.3753
127.65,52.29,282.25,2.032,85.28,64.11,29.13,1,112,1.67,0.5941
126.99,74.57,257.59,2.121,86.83,62.05,28.09,1,88,2.0,0.5004
125.27,54.26,279.31,1.795,84.61,32.65,30.57,1,46,1.62,0.6747
192.55,57.58,154.17,1.663,84.28,52.63,28.86,0,32,1.56,0.6246
227.25,53.03,155.02,1.743,80.43,60.27,23.75,0,30,1.58,0.5752
220.36,45.84,166.42,1.599,91.22,62.91,27.54,0,36,1.77,0.3231
