Timestamp,Suhu_Udara,Kelembapan_Udara,Kelembapan_Tanah,EC,N,P,K,Status_Pompa
2025-12-01 00:00:00,17.64,82.28,58.0,2.279,162.75,60.0,237.03,0
2025-12-01 01:00:00,15.83,85.53,58.24,2.236,163.13,60.53,240.61,0
2025-12-01 02:00:00,18.75,87.65,58.13,2.266,163.64,58.72,242.15,0
2025-12-01 03:00:00,18.26,83.42,57.79,2.238,165.75,57.59,241.5,0
2025-12-01 04:00:00,18.58,84.79,57.9,2.262,167.05,58.15,243.83,0
2025-12-01 05:00:00,18.95,89.53,57.52,2.275,169.14,57.42,243.56,0
2025-12-01 06:00:00,20.38,90.34,56.84,2.251,167.17,57.79,243.82,0
2025-12-01 07:00:00,21.32,82.36,56.92,2.171,165.29,57.95,242.14,0
2025-12-01 08:00:00,22.19,83.15,56.77,2.118,165.87,56.59,242.18,0
2025-12-01 09:00:00,23.5,81.86,55.96,2.079,167.87,57.34,237.74,0
2025-12-01 10:00:00,24.38,77.59,55.99,2.034,167.4,57.75,240.19,0
2025-12-01 11:00:00,25.44,73.53,55.59,2.08,165.97,57.91,237.41,0
2025-12-01 12:00:00,23.79,69.9,55.16,2.223,163.05,57.45,235.07,0
2025-12-01 13:00:00,24.1,74.18,54.44,2.198,163.78,57.94,229.25,0
2025-12-01 14:00:00,24.63,67.71,54.18,2.182,163.62,56.9,227.48,0
2025-12-01 15:00:00,23.49,67.35,53.16,2.155,162.9,56.14,225.46,0
2025-12-01 16:00:00,23.04,66.81,52.5,2.217,164.61,56.61,226.48,0
2025-12-01 17:00:00,23.08,64.34,51.72,2.248,164.47,57.69,223.67,0
2025-12-01 18:00:00,22.54,67.6,50.78,2.251,164.49,57.39,223.13,0
2025-12-01 19:00:00,21.89,68.42,50.83,2.181,166.13,57.94,222.02,0
2025-12-01 20:00:00,19.96,70.65,50.74,2.132,170.03,58.25,218.27,0
2025-12-01 21:00:00,19.57,74.95,50.78,2.154,169.03,58.74,219.7,0
2025-12-01 22:00:00,18.7,74.71,50.49,2.178,167.29,58.21,219.92,0
2025-12-01 23:00:00,17.98,76.84,50.59,2.185,165.42,58.19,220.77,0
2025-12-02 00:00:00,17.05,83.76,50.41,2.233,166.26,58.27,223.56,0
2025-12-02 01:00:00,16.84,83.45,50.07,2.164,164.25,59.73,224.15,0
2025-12-02 02:00:00,18.09,85.66,49.68,2.192,163.61,58.8,223.86,0
2025-12-02 03:00:00,17.39,82.8,48.89,2.215,163.15,57.64,226.72,0
2025-12-02 04:00:00,17.28,90.41,49.03,2.163,166.02,60.47,226.32,0
2025-12-02 05:00:00,19.23,88.94,49.15,2.136,168.13,60.79,225.5,0
2025-12-02 06:00:00,21.11,88.3,49.83,2.189,165.24,61.32,227.64,0
2025-12-02 07:00:00,19.04,85.75,49.53,2.129,168.08,61.92,226.06,0
2025-12-02 08:00:00,21.7,78.71,48.78,2.289,165.77,62.62,229.43,0
2025-12-02 09:00:00,23.22,80.42,47.71,2.323,166.03,63.41,230.11,0
2025-12-02 10:00:00,22.2,75.48,47.45,2.318,164.48,64.06,234.27,0
2025-12-02 11:00:00,23.88,71.75,47.1,2.301,163.81,65.02,234.16,0
2025-12-02 12:00:00,23.58,72.75,47.01,2.349,162.09,65.08,236.57,0
2025-12-02 13:00:00,23.79,73.37,46.17,2.32,165.22,65.95,232.4,0
