Timestamp,Suhu_Udara,Kelembapan_Udara,Kelembapan_Tanah,EC_Tangki,N,P,K,Status_Pompa,Fase
2025-12-01 00:00:00,25.41,83.49,58.0,1.6,162.43,62.17,237.73,0,0
2025-12-01 01:00:00,24.47,85.0,57.86,1.6,163.18,60.81,238.9,0,0
2025-12-01 02:00:00,24.91,81.16,57.58,1.6,159.42,60.18,233.82,0,0
2025-12-01 03:00:00,25.53,83.8,57.81,1.6,156.31,60.91,231.24,0,0
2025-12-01 04:00:00,23.89,82.6,57.16,1.6,158.13,63.27,231.03,0,0
2025-12-01 05:00:00,24.05,85.0,56.73,1.6,157.42,61.45,231.6,0,0
2025-12-01 06:00:00,26.13,85.0,64.98,1.6,155.95,61.29,233.92,1,0
2025-12-01 07:00:00,26.09,85.0,64.81,1.6,158.6,61.68,234.08,0,0
2025-12-01 08:00:00,25.83,80.3,64.5,1.6,159.44,61.14,234.26,0,0
2025-12-01 09:00:00,27.64,85.0,64.53,1.6,161.24,61.93,234.89,0,0
2025-12-01 10:00:00,27.58,85.0,63.73,1.6,161.09,61.15,234.26,0,0
2025-12-01 11:00:00,28.27,83.12,63.11,1.6,166.07,61.31,234.51,0,0
2025-12-01 12:00:00,29.36,85.0,70.43,1.6,164.94,60.86,237.35,1,0
2025-12-01 13:00:00,27.58,85.0,69.26,1.6,168.08,62.0,237.02,0,0
2025-12-01 14:00:00,27.69,83.34,68.58,1.6,167.84,61.39,236.85,0,0
2025-12-01 15:00:00,28.57,85.0,76.25,1.6,164.75,61.09,236.67,1,0
2025-12-01 16:00:00,27.89,83.48,75.82,1.6,165.63,61.97,239.83,0,0
2025-12-01 17:00:00,28.72,83.94,75.41,1.6,166.17,61.04,236.82,0,0
2025-12-01 18:00:00,27.18,83.34,74.72,1.6,164.23,61.13,241.17,0,0
2025-12-01 19:00:00,26.23,81.72,74.31,1.6,162.6,59.52,237.92,0,0
2025-12-01 20:00:00,28.29,85.0,74.47,1.6,162.66,58.62,236.14,0,0
2025-12-01 21:00:00,26.23,85.0,74.11,1.6,163.38,59.06,237.94,0,0
2025-12-01 22:00:00,25.96,85.0,73.99,1.6,159.0,58.26,240.37,0,0
2025-12-01 23:00:00,24.12,85.0,73.84,1.6,161.13,57.88,236.59,0,0
2025-12-02 00:00:00,24.47,85.0,74.07,1.6,160.4,58.45,233.78,0,0
2025-12-02 01:00:00,24.7,83.81,74.15,1.6,158.18,58.03,234.54,0,0
2025-12-02 02:00:00,23.29,85.0,73.56,1.6,160.15,58.89,240.42,0,0
2025-12-02 03:00:00,24.49,82.01,73.0,1.6,160.3,59.18,243.27,0,0
2025-12-02 04:00:00,23.56,83.02,72.97,1.6,162.68,59.66,242.23,0,0
2025-12-02 05:00:00,23.99,82.87,72.75,1.6,163.56,60.84,235.82,0,0
2025-12-02 06:00:00,24.17,85.0,80.4,1.6,163.62,61.17,235.99,1,0
2025-12-02 07:00:00,27.07,85.0,80.5,1.6,163.4,62.58,236.84,0,0
2025-12-02 08:00:00,26.24,85.0,79.98,1.6,164.33,63.38,235.79,0,0
2025-12-02 09:00:00,26.2,85.0,79.41,1.6,163.61,62.87,233.63,0,0
2025-12-02 10:00:00,28.74,82.92,79.05,1.6,162.13,64.0,234.09,0,0
2025-12-02 11:00:00,27.59,85.0,78.35,1.6,163.34,64.18,231.78,0,0
2025-12-02 12:00:00,29.33,84.53,86.23,1.6,163.15,63.76,236.63,1,0
2025-12-02 13:00:00,27.54,85.0,85.4,1.6,163.29,63.96,240.34,0,0
2025-12-02 14:00:00,28.05,84.55,85.01,1.6,165.31,64.9,241.71,0,0
2025-12-02 15:00:00,29.25,83.96,92.0,1.6,165.1,65.22,241.6,1,0
2025-12-02 16:00:00,29.47,85.0,90.99,1.6,165.12,66.77,239.62,0,0
2025-12-02 17:00:00,28.59,85.0,90.29,1.6,164.04,67.6,239.34,0,0
2025-12-02 18:00:00,27.9,83.38,90.04,1.6,164.85,67.9,243.22,0,0
2025-12-02 19:00:00,27.23,84.73,90.18,1.6,165.49,66.8,244.98,0,0
2025-12-02 20:00:00,25.64,82.56,89.92,1.6,167.09,66.5,244.99,0,0
