Timestamp,Suhu_Udara,Kelembapan_Udara,Kelembapan_Tanah,EC_Tangki,N,P,K,Status_Pompa
2025-12-01 00:00:00,21.82,92.56,58.0,1.8,164.44,62.39,235.31,0
2025-12-01 01:00:00,22.88,89.44,58.13,1.7,164.49,62.4,235.07,0
2025-12-01 02:00:00,20.62,91.59,58.08,1.8,163.35,60.25,235.82,0
2025-12-01 03:00:00,20.68,95.17,57.3,1.8,164.49,61.75,236.91,0
2025-12-01 04:00:00,22.75,99.29,56.78,1.7,163.1,62.13,232.61,0
2025-12-01 05:00:00,21.82,88.99,56.53,1.8,161.57,62.19,229.51,0
2025-12-01 06:00:00,21.92,92.13,64.37,1.8,161.59,61.81,231.69,1
2025-12-01 07:00:00,24.42,92.31,64.43,1.7,159.52,62.18,235.67,0
2025-12-01 08:00:00,24.51,88.61,63.87,1.7,162.62,62.58,233.22,0
2025-12-01 09:00:00,25.85,90.3,63.31,1.7,166.18,62.92,233.95,0
2025-12-01 10:00:00,25.87,85.09,62.81,1.7,165.32,63.86,236.02,0
2025-12-01 11:00:00,28.84,86.17,62.14,1.5,162.81,64.97,236.56,0
2025-12-01 12:00:00,26.66,83.92,69.58,1.7,163.5,66.68,235.86,1
2025-12-01 13:00:00,28.7,87.48,69.33,1.5,162.7,65.79,234.22,0
2025-12-01 14:00:00,27.19,83.41,68.72,1.7,164.9,65.16,239.22,0
2025-12-01 15:00:00,25.75,84.41,76.13,1.7,163.49,65.39,239.25,1
2025-12-01 16:00:00,27.19,87.72,75.54,1.7,164.53,64.59,240.01,0
2025-12-01 17:00:00,26.69,83.99,75.35,1.7,164.75,63.95,240.57,0
2025-12-01 18:00:00,25.16,87.15,74.44,1.7,163.55,64.32,238.26,0
2025-12-01 19:00:00,24.77,83.83,74.77,1.7,164.04,65.06,238.23,0
2025-12-01 20:00:00,24.95,86.35,74.21,1.7,165.66,66.12,237.26,0
2025-12-01 21:00:00,24.71,90.5,73.81,1.7,165.79,65.82,236.3,0
2025-12-01 22:00:00,21.92,88.38,73.83,1.8,165.93,66.12,237.02,0
2025-12-01 23:00:00,24.24,90.2,73.93,1.7,164.32,66.22,234.63,0
2025-12-02 00:00:00,22.56,93.23,73.31,1.7,166.41,66.11,231.64,0
2025-12-02 01:00:00,21.53,91.49,72.78,1.8,168.23,65.25,233.06,0
2025-12-02 02:00:00,23.08,95.03,72.66,1.7,167.36,64.3,231.83,0
2025-12-02 03:00:00,22.14,93.98,73.17,1.7,167.05,64.83,231.13,0
2025-12-02 04:00:00,23.07,94.56,73.34,1.7,169.51,64.0,226.5,0
2025-12-02 05:00:00,22.61,96.06,73.06,1.7,167.29,62.34,229.33,0
2025-12-02 06:00:00,22.71,93.27,80.14,1.7,168.29,62.3,230.93,1
2025-12-02 07:00:00,23.28,94.79,79.96,1.7,167.15,63.6,232.9,0
2025-12-02 08:00:00,24.63,91.97,79.5,1.7,170.26,61.04,233.97,0
2025-12-02 09:00:00,24.82,87.28,78.81,1.7,170.17,60.81,230.23,0
2025-12-02 10:00:00,25.32,89.84,77.99,1.7,172.23,61.45,231.05,0
2025-12-02 11:00:00,27.18,86.41,77.45,1.7,170.57,59.83,229.72,0
2025-12-02 12:00:00,27.03,84.2,84.59,1.7,168.1,59.7,227.58,1
2025-12-02 13:00:00,27.33,85.41,84.56,1.7,167.55,58.74,229.2,0
2025-12-02 14:00:00,28.11,87.34,84.43,1.5,167.92,57.94,233.63,0
2025-12-02 15:00:00,26.98,86.18,92.0,1.7,166.89,57.69,237.44,1
2025-12-02 16:00:00,26.82,89.65,91.45,1.7,168.18,56.81,238.87,0
2025-12-02 17:00:00,25.96,88.65,90.67,1.7,167.67,55.88,238.6,0
2025-12-02 18:00:00,26.34,88.15,90.09,1.7,163.82,56.01,237.88,0
2025-12-02 19:00:00,25.78,85.58,90.37,1.7,164.86,58.2,235.48,0
2025-12-02 20:00:00,25.69,88.34,90.42,1.7,163.28,58.99,234.78,0
2025-12-02 21:00:00,23.96,89.82,90.28,1.7,162.7,59.99,237.06,0
2025-12-02 22:00:00,23.53,92.09,90.35,1.7,165.58,60.77,241.52,0
2025-12-02 23:00:00,24.03,92.8,90.31,1.7,168.75,60.18,239.15,0
2025-12-03 00:00:00,23.16,92.52,90.23,1.7,167.57,60.51,233.95,0
2025-12-03 01:00:00,21.87,93.02,90.32,1.8,168.5,61.55,232.68,0
2025-12-03 02:00:00,23.37,94.8,90.27,1.7,167.37,62.31,235.05,0
2025-12-03 03:00:00,20.8,91.61,90.33,1.8,166.76,62.47,240.23,0
2025-12-03 04:00:00,22.73,97.33,90.18,1.7,165.6,62.93,243.25,0
2025-12-03 05:00:00,21.24,88.83,89.9,1.8,162.47,65.11,246.05,0
2025-12-03 06:00:00,24.22,95.77,92.0,1.7,162.74,65.78,243.37,1
2025-12-03 07:00:00,22.16,91.3,91.6,1.7,163.35,65.38,240.9,0
2025-12-03 08:00:00,25.17,92.17,90.55,1.7,162.21,65.21,237.29,0
2025-12-03 09:00:00,25.09,89.24,89.7,1.7,164.28,64.17,235.52,0
2025-12-03 10:00:00,25.71,87.76,88.85,1.7,163.52,66.21,237.78,0
2025-12-03 11:00:00,26.84,87.05,88.11,1.7,162.43,67.53,241.7,0
2025-12-03 12:00:00,27.65,86.85,92.0,1.7,163.48,67.44,242.23,1
2025-12-03 13:00:00,26.58,84.08,91.37,1.7,160.77,69.24,241.23,0
2025-12-03 14:00:00,26.59,87.17,90.86,1.7,162.57,69.59,238.25,0
2025-12-03 15:00:00,27.59,82.79,92.0,1.7,161.94,68.98,237.81,1
2025-12-03 16:00:00,25.44,85.63,91.9,1.7,163.85,69.58,238.17,0
2025-12-03 17:00:00,25.97,88.09,91.15,1.7,166.21,69.71,234.36,0
2025-12-03 18:00:00,28.43,89.19,90.5,1.5,167.31,70.24,236.69,0
2025-12-03 19:00:00,24.73,88.85,90.26,1.7,165.76,68.76,235.55,0
2025-12-03 20:00:00,25.89,87.87,90.39,1.7,163.48,67.83,237.67,0
2025-12-03 21:00:00,23.96,91.63,90.59,1.7,160.96,68.99,237.51,0
2025-12-03 22:00:00,24.3,89.09,90.52,1.7,163.11,70.3,238.13,0
2025-12-03 23:00:00,23.92,95.25,90.69,1.7,162.94,71.33,236.22,0
2025-12-04 00:00:00,23.86,91.96,90.54,1.7,161.94,73.05,235.3,0
2025-12-04 01:00:00,22.44,89.37,90.29,1.7,161.83,73.23,236.89,0
2025-12-04 02:00:00,23.92,90.59,90.43,1.7,163.9,73.35,236.46,0
2025-12-04 03:00:00,21.69,93.6,90.38,1.8,165.34,72.19,233.63,0
2025-12-04 04:00:00,22.29,93.91,89.96,1.7,166.12,71.36,233.98,0
2025-12-04 05:00:00,22.45,97.67,90.06,1.7,167.22,69.29,234.99,0
2025-12-04 06:00:00,21.81,90.29,92.0,1.8,167.46,68.78,238.42,1
2025-12-04 07:00:00,23.17,91.49,91.7,1.7,167.9,66.73,241.13,0
2025-12-04 08:00:00,24.38,87.63,91.4,1.7,168.19,67.56,240.67,0
2025-12-04 09:00:00,24.81,87.35,90.8,1.7,168.06,67.74,239.01,0
2025-12-04 10:00:00,27.95,90.7,90.33,1.7,169.29,65.75,238.24,0
2025-12-04 11:00:00,26.02,83.33,89.95,1.7,169.77,65.46,236.77,0
2025-12-04 12:00:00,28.09,86.36,92.0,1.5,167.99,67.13,237.95,1
2025-12-04 13:00:00,27.99,85.66,91.53,1.7,168.83,66.86,240.4,0
2025-12-04 14:00:00,27.23,84.84,91.35,1.7,169.12,65.82,243.23,0
2025-12-04 15:00:00,26.38,86.32,92.0,1.7,170.05,64.1,241.79,1
2025-12-04 16:00:00,26.19,83.09,91.56,1.7,169.66,62.45,240.17,0
2025-12-04 17:00:00,26.03,89.9,90.73,1.7,170.94,62.92,238.86,0
2025-12-04 18:00:00,24.57,91.23,90.47,1.7,170.59,62.5,233.84,0
2025-12-04 19:00:00,24.7,87.94,90.57,1.7,171.67,62.17,230.89,0
2025-12-04 20:00:00,23.79,94.07,90.26,1.7,170.58,61.78,231.01,0
2025-12-04 21:00:00,25.5,88.78,90.71,1.7,169.66,61.66,232.16,0
2025-12-04 22:00:00,24.39,91.44,90.84,1.7,170.56,60.57,233.53,0
2025-12-04 23:00:00,24.03,94.55,90.85,1.7,169.74,60.89,231.65,0
2025-12-05 00:00:00,23.43,91.13,90.84,1.7,173.52,59.65,230.59,0
2025-12-05 01:00:00,22.73,89.72,90.93,1.7,174.2,59.04,230.14,0
2025-12-05 02:00:00,23.49,89.67,90.43,1.7,173.88,60.04,229.43,0
2025-12-05 03:00:00,21.67,98.04,90.29,1.8,175.0,60.43,231.43,0
2025-12-05 04:00:00,22.19,92.44,90.2,1.7,173.73,61.1,228.33,0
2025-12-05 05:00:00,22.85,92.93,89.88,1.7,175.04,63.06,225.79,0
2025-12-05 06:00:00,21.65,90.12,92.0,1.8,176.25,62.97,225.51,1
2025-12-05 07:00:00,25.88,93.49,92.0,1.7,178.06,62.96,222.57,0
2025-12-05 08:00:00,24.27,88.24,91.31,1.7,176.74,62.7,218.44,0
2025-12-05 09:00:00,25.27,87.36,90.72,1.7,174.07,62.28,215.53,0
2025-12-05 10:00:00,27.01,87.66,89.89,1.7,172.61,61.36,215.9,0
2025-12-05 11:00:00,27.42,83.49,88.77,1.7,171.8,61.45,218.43,0
2025-12-05 12:00:00,27.17,84.67,92.0,1.7,174.53,61.79,220.89,1
2025-12-05 13:00:00,27.4,87.88,91.41,1.7,178.1,62.17,225.56,0
2025-12-05 14:00:00,26.04,85.84,90.84,1.7,178.2,62.22,226.29,0
2025-12-05 15:00:00,26.63,85.47,92.0,1.7,177.68,63.05,227.32,1
2025-12-05 16:00:00,27.22,86.11,91.36,1.7,176.55,63.04,227.07,0
2025-12-05 17:00:00,26.79,85.4,91.11,1.7,177.57,62.64,226.97,0
