soil_moisture,air_temperature,air_humidity,irrigation_action
27.79,30.5,74.6,0
28.0,30.4,76.6,0
28.0,30.4,76.6,0
27.79,30.3,77.1,0
27.79,30.3,76.5,0
27.79,30.3,78.1,0
27.79,30.3,78.8,0
27.79,30.3,78.8,0
28.0,30.2,77.5,0
27.79,30.2,77.6,0
27.79,30.2,77.6,0
27.79,30.2,78.7,0
27.79,30.2,78.5,0
27.79,30.1,78.5,0
27.79,30.1,78.9,0
27.79,30.1,80.4,0
27.79,30.1,78.9,0
27.79,30.0,77.6,0
27.79,30.0,79.7,0
27.79,30.0,78.9,0
27.79,29.9,77.3,0
27.79,29.8,77.0,0
27.79,29.7,77.9,0
27.79,29.6,77.8,0
27.58,29.6,79.1,0
27.58,29.6,80.6,0
27.58,29.5,78.7,0
27.58,29.5,80.6,0
27.79,29.5,79.7,0
27.79,29.4,81.3,0
27.58,29.4,79.2,0
27.58,29.4,79.8,0
27.58,29.4,80.7,0
27.58,29.4,80.7,0
27.58,29.5,79.2,0
27.79,29.5,79.1,0
27.79,29.6,79.9,0
27.58,29.6,81.9,0
27.58,29.7,79.1,0
27.58,30.3,75.6,0
27.58,30.2,76.7,0
27.58,30.2,76.2,0
27.58,30.2,74.7,0
27.58,30.2,75.8,0
27.58,30.2,75.7,0
28.22,25.9,94.4,0
22.84,26.0,92.6,0
28.44,26.0,95.0,0
25.64,25.9,95.0,0
22.19,25.9,98.2,0
18.74,25.9,92.7,0
10.76,28.9,80.4,1
10.11,28.8,80.9,1
29.3,28.8,79.9,0
10.0,25.8,95.7,1
10.0,25.7,95.0,1
10.0,25.8,93.7,1
10.0,25.8,95.0,1
10.0,25.8,93.7,1
10.0,25.8,97.7,1
10.0,27.5,88.4,1
10.0,27.5,87.5,1
10.0,27.5,84.6,1
10.0,27.5,86.8,1
10.0,27.4,83.9,1
10.0,27.4,80.8,1
10.0,27.5,83.6,1
10.0,27.5,81.5,1
10.0,27.5,86.3,1
10.0,27.4,82.3,1
10.0,27.5,86.3,1
19.39,28.8,78.3,0
18.74,28.8,78.2,0
18.74,28.8,78.9,0
19.16,28.8,77.9,0
19.39,28.8,78.1,0
18.74,28.8,79.0,0
18.74,28.8,78.9,0
18.95,28.8,77.0,0
19.39,28.7,78.5,0
18.74,28.7,77.6,0
18.74,28.7,78.5,0
18.74,28.7,78.5,0
19.39,28.8,81.2,0
18.74,28.7,80.5,0
18.74,28.7,80.0,0
18.95,28.7,78.6,0
18.74,28.7,78.3,0
18.74,28.7,79.8,0
18.74,28.7,78.3,0
19.39,28.7,79.0,0
18.95,28.6,78.3,0
18.74,28.7,78.5,0
18.74,28.7,78.0,0
19.39,28.7,77.1,0
18.74,28.7,79.6,0
18.52,28.7,79.0,0
18.74,28.6,79.5,0
19.39,28.6,79.0,0
18.95,28.6,79.3,0
18.52,28.6,79.0,0
18.74,28.6,78.5,0
19.39,28.6,79.0,0
18.74,28.6,78.3,0
18.52,28.5,78.5,0
18.74,28.5,77.6,0
19.39,28.5,78.1,0
18.52,28.5,77.0,0
18.52,28.5,78.0,0
18.74,28.5,77.8,0
19.39,28.5,78.5,0
18.95,28.5,77.3,0
18.52,28.5,79.5,0
18.52,28.4,78.6,0
19.39,28.4,78.0,0
18.95,28.4,77.9,0
18.52,28.4,78.3,0
19.39,25.2,95.0,0
19.39,27.4,89.1,0
