nitrogen,fosfor,kalium,plant_age,fase,ec,soil_moisture,recommendation
91,190,102,64,2,17.5,82.5,10
93,187,101,64,2,17.5,80.5,10
91,190,101,64,2,17.5,77.9,10
94,188,103,64,2,17.5,78.2,10
93,189,100,64,2,17.58,75.1,10
92,186,103,64,2,17.5,76.5,10
94,186,102,64,2,17.57,76.8,10
94,187,103,64,2,17.54,72.7,10
93,189,103,64,2,17.6,72.1,10
93,186,101,64,2,17.62,69.6,10
92,187,101,64,2,17.61,71.6,10
92,186,103,64,2,17.5,69.9,10
91,188,102,64,2,17.6,69.1,10
91,187,101,64,2,17.57,67.0,10
91,187,102,64,2,17.73,65.9,10
92,186,102,64,2,17.64,64.9,10
94,186,102,64,2,17.65,66.4,10
92,185,102,64,2,17.61,64.4,10
94,187,101,64,2,17.6,64.8,10
93,189,101,64,2,17.77,65.6,10
92,186,102,64,2,17.6,63.2,10
93,186,102,64,2,17.53,63.8,10
92,188,101,64,2,17.5,64.0,10
93,186,101,64,2,17.61,62.7,10
95,187,103,64,2,17.77,62.7,10
92,187,101,64,2,17.61,62.4,10
92,186,101,64,2,17.72,63.1,10
93,187,102,64,2,17.5,62.8,10
93,189,102,64,2,17.57,62.2,10
93,187,103,64,2,17.53,60.9,10
91,188,103,64,2,17.56,60.8,10
93,187,102,64,2,17.65,59.7,10
94,188,102,64,2,17.72,60.0,10
93,187,103,64,2,17.58,61.2,10
0,0,0,64,2,0.0,0.0,7
94,189,103,64,2,17.79,90.1,10
92,187,104,64,2,17.76,90.4,10
92,188,102,64,2,17.53,91.0,10
92,187,102,64,2,17.5,86.9,10
94,186,101,64,2,17.5,84.1,10
91,188,102,64,2,17.5,86.1,10
94,187,103,64,2,17.5,83.3,10
93,186,101,64,2,17.56,82.7,10
93,185,102,64,2,17.5,81.8,10
92,189,102,64,2,17.6,80.6,10
92,186,102,64,2,17.5,77.9,10
93,189,102,64,2,17.54,77.1,10
93,187,102,64,2,17.63,79.1,10
92,187,101,64,2,17.62,76.8,10
92,187,102,64,2,17.63,75.2,10
92,186,100,64,2,17.56,74.6,10
92,187,102,64,2,17.68,74.0,10
92,186,101,64,2,17.57,75.1,10
92,187,103,64,2,17.57,71.5,10
93,185,101,64,2,17.71,73.1,10
93,186,103,64,2,17.73,72.4,10
91,185,102,64,2,17.64,71.0,10
91,187,102,64,2,17.67,70.5,10
91,185,101,64,2,17.75,70.5,10
92,185,101,64,2,17.69,69.2,10
92,183,101,64,2,17.64,69.1,10
91,186,102,64,2,17.59,70.2,10
92,183,101,64,2,17.8,68.2,10
92,185,102,64,2,17.79,68.5,10
91,187,101,64,2,17.78,67.3,10
92,186,101,64,2,17.59,67.5,10
92,185,101,64,2,17.63,66.6,10
93,186,101,64,2,17.68,66.2,10
93,185,100,64,2,17.76,65.5,10
0,0,0,64,2,0.0,0.0,7
92,186,100,64,2,17.85,64.9,10
92,184,100,64,2,17.86,65.7,10
91,185,98,64,2,17.96,66.2,10
93,185,100,64,2,17.93,65.2,10
93,186,100,64,2,17.81,63.9,10
92,187,98,64,2,17.83,64.7,10
92,186,101,64,2,17.89,64.3,10
91,187,99,64,2,18.01,64.0,10
91,187,101,64,2,17.84,63.0,10
92,186,100,64,2,17.92,62.5,10
91,186,100,64,2,18.03,61.8,10
91,185,100,64,2,18.03,62.7,10
91,187,99,64,2,17.88,62.2,10
91,186,99,64,2,18.04,62.9,10
93,186,99,64,2,17.94,61.8,10
91,187,100,64,2,17.92,62.3,10
91,184,99,64,2,17.91,60.9,10
92,187,100,64,2,18.03,60.6,10
92,185,99,64,2,18.15,62.5,10
91,185,100,64,2,18.01,62.4,10
92,184,99,64,2,18.07,60.3,10
91,186,99,64,2,18.0,60.6,10
91,185,99,64,2,17.98,60.4,10
91,185,99,64,2,18.14,61.8,10
92,186,99,64,2,18.06,60.8,10
92,188,99,64,2,17.93,61.2,10
91,187,99,64,2,17.94,60.8,10
91,185,101,64,2,18.0,60.7,10
92,185,99,64,2,17.95,61.0,10
90,186,99,64,2,17.95,58.9,10
90,186,99,64,2,18.07,60.8,10
90,186,97,64,2,18.03,59.6,10
91,186,99,64,2,18.13,60.2,10
92,185,98,64,2,18.18,61.0,10
91,185,99,64,2,18.05,61.0,10
92,186,99,64,2,18.05,61.2,10
91,187,97,64,2,18.16,61.0,10
91,185,98,64,2,18.11,59.1,10
92,187,100,64,2,18.19,59.7,10
91,185,98,64,2,18.21,60.9,10
90,187,98,64,2,18.15,59.8,10
89,185,100,64,2,18.18,61.0,10
93,185,99,64,2,18.22,59.1,10
90,185,99,64,2,18.24,58.9,10
91,184,99,64,2,18.15,60.4,10
91,185,98,64,2,18.08,58.1,10
91,186,99,64,2,18.28,59.4,10
91,186,98,64,2,18.23,57.5,10
91,186,98,64,2,18.25,57.2,10
90,186,100,64,2,18.15,57.0,10
91,186,98,64,2,18.2,59.3,10
91,183,99,64,2,18.16,59.3,10
91,184,99,64,2,18.22,59.9,10
90,185,98,64,2,18.26,59.1,10
92,183,96,64,2,18.26,58.3,10
90,184,98,64,2,18.33,58.9,10
91,185,98,64,2,18.08,59.8,10
91,183,98,64,2,18.1,59.5,10
90,183,98,64,2,18.2,58.9,10
92,185,97,64,2,18.15,60.7,10
89,184,98,64,2,18.18,61.8,10
90,186,99,64,2,18.1,62.1,10
91,184,97,64,2,18.37,60.9,10
89,184,97,64,2,18.29,63.8,10
89,185,97,64,2,17.99,62.0,10
90,183,97,64,2,18.14,60.9,10
89,184,97,64,2,18.1,63.9,10
90,186,96,64,2,18.13,62.2,10
91,185,96,64,2,18.26,61.3,10
92,184,97,64,2,18.16,63.9,10
90,184,96,64,2,18.13,63.4,10
90,184,96,64,2,17.99,64.2,10
90,183,97,64,2,18.22,62.0,10
90,182,97,64,2,17.99,63.4,10
90,184,97,64,2,17.92,61.6,10
89,183,97,64,2,18.19,62.4,10
91,183,98,64,2,18.21,63.3,10
89,184,98,64,2,18.13,62.6,10
90,184,96,64,2,18.16,63.9,10
91,183,96,64,2,18.17,64.2,10
91,184,97,64,2,18.05,62.4,10
91,185,97,64,2,18.21,62.4,10
90,182,97,64,2,18.09,64.1,10
90,184,96,64,2,18.13,64.5,10
91,184,96,64,2,18.14,64.2,10
90,184,96,64,2,18.26,64.6,10
90,183,95,64,2,18.19,62.6,10
91,183,97,64,2,18.23,64.3,10
90,185,97,64,2,18.19,65.1,10
91,183,96,64,2,18.2,65.4,10
89,184,97,64,2,18.15,63.4,10
91,182,98,64,2,18.19,64.0,10
0,0,0,64,2,0.0,0.0,7
90,185,96,64,2,18.29,62.8,10
90,184,97,64,2,18.25,65.2,10
91,183,96,64,2,18.38,64.7,10
91,185,97,64,2,18.36,64.6,10
91,185,96,64,2,18.15,65.3,10
90,183,95,64,2,18.4,64.7,10
90,184,94,64,2,18.28,63.4,10
89,186,95,64,2,18.1,65.6,10
91,184,97,64,2,18.25,65.5,10
90,185,96,64,2,18.27,65.1,10
89,184,96,64,2,18.3,66.2,10
91,185,96,64,2,18.36,65.2,10
90,184,94,64,2,18.21,64.1,10
91,183,96,64,2,18.23,65.1,10
91,184,97,64,2,18.35,65.6,10
91,185,97,64,2,18.32,63.8,10
89,184,98,64,2,18.5,64.0,10
89,185,97,64,2,18.47,63.2,10
91,184,97,64,2,18.17,63.4,10
92,185,97,64,2,18.37,65.7,10
91,184,98,64,2,18.31,65.0,10
90,184,97,64,2,18.35,65.5,10
91,185,97,64,2,18.52,65.8,10
90,185,99,64,2,18.32,64.6,10
90,185,98,64,2,18.36,64.6,10
90,184,98,64,2,18.43,64.4,10
91,183,97,64,2,18.57,64.4,10
92,184,97,64,2,18.49,64.1,10
91,184,98,64,2,18.33,63.8,10
92,183,97,64,2,18.43,63.6,10
91,184,96,64,2,18.42,64.5,10
91,184,97,64,2,18.39,64.6,10
90,183,98,64,2,18.4,64.6,10
90,185,98,64,2,18.54,65.1,10
91,183,98,64,2,18.43,63.4,10
89,183,98,64,2,18.51,63.5,10
92,183,98,64,2,18.64,64.6,10
93,185,99,64,2,18.43,65.0,10
90,184,98,64,2,18.44,65.1,10
90,184,97,64,2,18.63,65.0,10
91,182,98,64,2,18.57,64.4,10
89,184,98,64,2,18.56,65.9,10
92,182,100,64,2,18.42,67.3,10
90,185,100,64,2,18.45,63.7,10
90,181,98,64,2,18.64,65.3,10
90,183,100,64,2,18.46,65.7,10
92,182,99,64,2,18.4,65.1,10
90,183,98,64,2,18.49,64.9,10
90,184,99,64,2,18.46,63.6,10
91,183,99,64,2,18.58,64.3,10
90,182,99,64,2,18.49,64.0,10
90,181,98,64,2,18.49,62.8,10
91,183,99,64,2,18.6,64.5,10
91,182,97,64,2,18.54,62.8,10
91,182,97,64,2,18.6,64.9,10
91,183,97,64,2,18.72,64.4,10
91,182,97,64,2,18.54,63.0,10
90,182,99,64,2,18.59,65.2,10
91,181,98,64,2,18.58,63.6,10
91,181,98,64,2,18.68,63.7,10
92,183,98,64,2,18.62,63.9,10
92,181,97,64,2,18.65,65.6,10
91,180,98,64,2,18.64,63.7,10
89,181,97,64,2,18.54,64.1,10
90,182,98,64,2,18.62,64.4,10
89,180,99,64,2,18.77,63.9,10
92,182,98,64,2,18.66,63.9,10
91,184,99,64,2,18.55,64.3,10
91,181,99,64,2,18.75,62.9,10
91,180,99,64,2,18.63,63.5,10
91,181,98,64,2,18.65,62.3,10
91,180,98,64,2,18.81,64.2,10
91,183,98,64,2,18.72,62.7,10
89,181,100,64,2,18.77,62.4,10
89,181,98,64,2,18.65,63.7,10
92,181,99,64,2,18.69,62.8,10
91,183,99,64,2,18.61,62.4,10
90,183,99,64,2,18.7,62.0,10
92,181,98,64,2,18.66,62.3,10
91,181,99,64,2,18.75,62.1,10
91,181,99,64,2,18.81,60.9,10
92,182,99,64,2,18.65,61.7,10
93,179,99,64,2,18.78,61.8,10
91,181,98,64,2,18.83,62.7,10
