nitrogen,fosfor,kalium,plant_age,fase,soil_moisture,recommendation
107,38,53,1,0,22.93,6
107,38,53,1,0,22.93,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.6,6
107,38,53,3,0,67.6,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.6,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
107,38,53,3,0,67.77,6
118,42,57,3,0,67.77,6
118,42,57,3,0,67.77,6
118,42,57,3,0,67.77,6
118,42,57,3,0,67.77,6
118,42,57,3,0,67.94,6
118,42,57,3,0,67.94,6
118,42,57,3,0,67.94,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.77,6
105,37,53,3,0,67.77,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.77,6
105,37,53,3,0,67.77,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.94,6
105,37,53,3,0,67.94,6
117,42,58,3,0,67.94,6
117,42,58,3,0,67.94,6
117,42,58,3,0,67.94,6
117,42,58,3,0,67.94,6
117,42,58,3,0,67.94,6
117,42,58,5,0,19.48,6
117,42,58,5,0,19.48,6
106,38,53,5,0,67.42,6
106,38,53,5,0,71.73,6
106,38,53,5,0,67.25,6
106,38,53,5,0,69.49,6
106,38,53,5,0,72.25,6
106,38,54,5,0,75.01,6
107,37,50,5,0,81.39,6
107,37,50,5,0,81.91,6
107,37,50,5,0,66.56,6
107,37,50,5,0,28.97,6
44,15,22,6,0,84.67,6
44,15,22,6,0,84.15,6
44,15,22,6,0,83.81,6
44,15,22,6,0,85.53,6
44,15,22,6,0,85.53,6
44,15,22,6,0,85.53,6
44,15,22,6,0,19.48,6
107,37,50,6,0,19.48,6
107,37,50,6,0,83.63,6
107,37,50,6,0,83.63,6
107,37,50,6,0,83.81,6
107,37,50,6,0,83.63,6
107,37,50,6,0,83.98,6
107,37,50,6,0,83.63,6
107,37,50,6,0,83.81,6
107,37,50,6,0,83.98,6
107,37,50,6,0,83.98,6
107,37,50,6,0,83.63,6
107,37,50,6,0,83.98,6
107,37,50,6,0,74.49,6
107,37,50,6,0,75.01,6
107,37,50,6,0,75.01,6
107,37,50,6,0,74.67,6
107,37,50,6,0,74.49,6
107,37,50,6,0,75.01,6
107,37,50,6,0,75.01,6
107,37,50,6,0,74.84,6
117,42,58,6,0,74.49,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.84,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,74.84,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,75.01,6
117,42,58,6,0,75.18,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,74.84,6
117,42,58,6,0,75.18,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,75.01,6
117,42,58,6,0,19.14,6
117,42,58,6,0,19.14,6
117,42,58,6,0,75.18,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,75.18,6
117,42,58,6,0,75.18,6
117,42,58,6,0,75.01,6
117,42,58,6,0,74.49,6
117,42,58,6,0,74.84,6
117,42,58,6,0,75.18,6
117,42,58,6,0,75.18,6
117,42,58,6,0,74.49,6
117,42,58,6,0,74.84,6
117,42,58,6,0,75.18,6
117,42,58,7,0,19.48,6
117,42,58,7,0,19.48,6
117,42,58,7,0,74.49,6
117,42,58,7,0,74.49,6
117,42,58,7,0,74.49,6
44,15,22,9,0,81.39,6
44,15,22,9,0,81.39,6
44,15,22,9,0,81.05,6
44,15,22,9,0,81.39,6
44,15,22,9,0,81.05,6
44,15,22,9,0,81.56,6
44,15,22,9,0,81.56,6
44,15,22,9,0,81.22,6
44,15,22,9,0,81.22,6
44,15,22,9,0,81.56,6
117,42,58,9,0,80.7,6
117,42,58,9,0,81.05,6
117,42,58,9,0,81.05,6
117,42,58,9,0,80.53,6
117,42,58,9,0,81.05,6
117,42,58,9,0,80.87,6
117,42,58,9,0,80.18,6
117,42,58,9,0,81.22,6
117,42,58,9,0,79.84,6
117,42,58,9,0,80.53,6
117,42,58,9,0,81.05,6
117,42,58,9,0,79.67,6
117,42,58,9,0,80.87,6
117,42,58,9,0,80.87,6
117,42,58,9,0,80.87,6
117,42,58,9,0,79.84,6
117,42,58,9,0,80.87,6
117,42,58,9,0,80.87,6
117,42,58,9,0,79.84,6
117,42,58,9,0,80.7,6
117,42,58,9,0,80.7,6
117,42,58,9,0,80.18,6
117,42,58,9,0,80.36,6
117,42,58,9,0,80.7,6
117,42,58,9,0,81.22,6
117,42,58,9,0,80.7,6
117,42,58,17,0,83.98,6
117,42,58,17,0,34.14,6
117,42,58,17,0,34.14,6
117,42,58,17,0,83.63,6
117,42,58,17,0,84.15,6
117,42,58,17,0,83.81,6
117,42,58,17,0,83.98,6
117,42,58,17,0,85.7,6
117,42,58,17,0,83.98,6
117,42,58,17,0,87.08,6
117,42,58,17,0,86.91,6
117,42,58,17,0,86.91,6
117,42,58,17,0,86.91,6
117,42,58,17,0,86.91,6
117,42,58,17,0,86.91,6
117,42,58,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,17,0,86.91,6
106,39,55,22,0,86.91,6
106,39,55,22,0,86.91,6
106,39,55,22,0,86.91,6
106,39,55,22,0,86.91,6
106,39,55,22,0,86.91,6
106,39,55,22,0,86.91,6
106,39,55,22,0,86.91,6
118,39,55,25,0,86.91,6
118,39,55,25,0,80.36,6
118,39,55,25,0,80.18,6
118,39,55,25,0,80.7,6
118,39,55,25,0,80.7,6
118,39,55,25,0,80.7,6
118,39,55,25,0,80.7,6
118,39,55,25,0,80.7,6
118,39,55,25,0,80.7,6
118,39,55,25,0,33.97,6
118,39,55,25,0,33.97,6
118,39,55,25,0,83.81,6
118,39,55,25,0,24.49,6
118,39,55,25,0,24.49,6
118,39,55,25,0,83.81,6
118,39,55,32,1,83.98,6
118,39,55,32,1,85.7,6
118,39,55,32,1,83.98,6
118,39,55,32,1,87.08,6
118,39,55,32,1,86.91,6
118,39,55,32,1,86.91,6
118,39,55,32,1,86.91,6
118,39,55,32,1,86.91,6
118,39,55,32,1,86.91,6
118,39,55,32,1,86.91,6
104,61,125,35,1,60.24,2
100,90,67,35,1,18.35,0
117,98,53,35,1,14.8,3
86,62,92,35,1,54.85,0
104,49,112,35,1,62.45,2
65,104,133,35,1,90.0,1
105,45,102,35,1,20.79,2
80,88,61,35,1,32.7,0
109,41,98,35,1,56.09,2
66,101,91,35,1,49.54,0
111,47,41,35,1,10.39,6
65,97,81,35,1,12.23,0
73,69,114,35,1,82.1,0
63,105,110,35,1,15.1,1
92,76,107,35,1,49.03,0
113,56,55,35,1,89.4,3
88,84,106,35,1,68.86,0
109,42,92,35,1,31.31,2
84,40,129,40,1,10.66,2
115,59,104,40,1,89.18,2
119,63,82,40,1,39.04,0
105,58,91,40,1,32.19,2
87,44,44,40,1,72.39,6
97,43,83,40,1,24.34,2
118,44,72,40,1,89.68,2
62,46,56,40,1,76.04,6
105,41,54,40,1,90.0,6
93,100,129,40,1,49.73,0
101,72,126,40,1,73.67,0
79,85,60,40,1,90.0,0
76,109,97,40,1,11.91,0
73,53,67,40,1,80.14,0
76,66,43,40,1,43.27,3
93,66,94,40,1,72.86,0
115,62,93,40,1,40.26,2
111,92,57,40,1,34.57,3
105,62,121,40,1,27.44,2
114,56,94,40,1,70.44,2
115,64,45,45,1,90.0,3
66,52,51,45,1,14.27,3
88,83,135,45,1,10.0,0
60,79,103,45,1,11.38,0
90,76,45,45,1,90.0,3
113,109,76,45,1,21.49,0
105,108,89,45,1,51.41,0
103,58,124,45,1,36.79,2
68,75,52,45,1,38.83,3
64,41,116,45,1,46.5,2
118,74,68,45,1,32.5,0
69,108,107,45,1,38.37,0
79,107,119,45,1,42.32,0
67,91,102,45,1,85.73,0
97,61,101,45,1,13.51,0
81,57,80,45,1,24.65,0
113,55,110,45,1,10.0,2
99,71,99,45,1,20.83,0
78,62,128,45,1,41.75,2
95,61,99,45,1,10.0,0
86,104,98,45,1,34.58,0
101,59,130,45,1,69.0,2
60,41,138,45,1,82.46,2
62,86,57,45,1,39.57,3
91,94,110,45,1,26.39,0
96,83,127,45,1,17.59,0
93,69,139,45,1,71.48,2
66,97,54,45,1,10.0,3
101,62,110,45,1,42.21,2
73,68,76,45,1,27.69,0
93,89,55,45,1,19.19,3
84,90,66,45,1,10.0,0
98,49,64,45,1,71.01,2
94,74,42,45,1,60.76,3
80,76,103,45,1,10.0,0
76,81,78,45,1,16.55,0
74,93,66,45,1,60.09,0
74,55,114,45,1,53.27,2
80,45,87,45,1,28.29,2
72,79,78,45,1,90.0,0
80,73,132,45,1,63.28,0
76,77,124,45,1,79.39,0
112,65,80,45,1,48.13,0
105,68,67,45,1,22.79,0
88,66,69,50,1,87.02,0
74,60,59,50,1,10.0,3
97,47,64,50,1,53.3,2
81,42,126,50,1,22.7,2
69,85,51,50,1,64.77,3
104,48,115,50,1,51.19,2
96,81,82,50,1,10.0,0
82,54,133,50,1,30.98,2
82,44,104,50,1,90.0,2
66,74,132,50,1,76.81,0
107,57,116,50,1,74.09,2
85,46,83,50,1,10.0,2
66,60,131,50,1,23.05,0
76,56,133,50,1,32.14,2
69,69,112,50,1,90.0,0
116,81,69,50,1,19.62,0
113,62,48,50,1,81.85,3
96,56,134,50,1,85.14,2
65,45,137,50,1,13.12,2
96,66,51,50,1,90.0,3
93,76,108,50,1,90.0,0
107,79,59,50,1,10.0,3
81,52,99,50,1,74.86,2
107,78,82,50,1,22.57,0
118,108,108,50,1,34.29,0
86,87,115,50,1,88.79,0
118,59,127,50,1,20.51,2
63,95,63,50,1,79.27,0
69,109,107,50,1,30.46,0
68,102,92,50,1,61.92,0
64,53,122,50,1,45.53,2
65,98,91,50,1,10.0,0
75,70,119,50,1,74.09,0
99,57,111,50,1,69.9,2
63,69,108,50,1,70.76,0
104,73,121,50,1,63.01,0
76,102,71,50,1,42.34,0
111,104,129,55,1,19.98,0
119,106,81,55,1,10.69,0
94,77,129,55,1,90.0,0
91,44,78,55,1,34.99,2
114,50,115,55,1,40.77,2
69,88,99,55,1,39.91,0
107,108,123,55,1,20.67,0
96,59,121,55,1,10.0,2
90,94,62,55,1,25.18,0
69,89,48,55,1,82.85,3
98,106,105,55,1,10.0,0
92,64,49,55,1,13.48,3
62,105,93,55,1,70.04,0
117,53,107,55,1,87.79,2
71,101,77,55,1,19.4,0
106,78,129,55,1,10.0,0
114,86,132,55,1,87.27,0
111,41,129,55,1,34.87,2
84,108,103,55,1,90.0,0
84,72,130,55,1,90.0,0
119,97,125,55,1,21.48,0
115,41,71,55,1,18.44,2
101,100,58,55,1,65.08,3
109,69,79,55,1,55.21,0
87,69,114,55,1,22.05,0
73,54,62,55,1,14.23,0
103,101,109,55,1,72.4,0
103,49,108,55,1,21.57,2
107,66,137,55,1,79.92,2
64,45,133,55,1,55.27,2
78,51,84,55,1,28.11,0
65,50,94,55,1,31.42,0
66,66,60,55,1,49.78,0
72,45,109,55,1,33.02,2
96,104,55,55,1,90.0,3
103,57,76,55,1,71.18,0
70,93,69,55,1,78.38,0
107,75,118,55,1,90.0,0
103,40,89,55,1,79.24,2
119,93,81,55,1,14.0,0
116,78,136,55,1,10.37,0
94,78,130,55,1,46.7,0
93,40,104,55,1,51.57,2
79,109,65,55,1,53.69,0
78,59,66,55,1,10.0,0
73,89,55,55,1,10.0,3
100,45,46,55,1,78.36,6
113,94,76,55,1,90.0,0
77,63,55,55,1,90.0,3
113,97,47,55,1,64.24,3
117,49,76,55,1,58.25,2
98,56,111,55,1,75.24,2
61,60,133,55,1,10.0,0
70,95,137,55,1,16.29,1
71,101,110,55,1,25.56,0
115,75,62,55,1,51.62,0
76,91,65,55,1,11.35,0
107,93,139,55,1,10.0,0
81,88,78,55,1,11.23,0
79,57,113,55,1,73.87,2
91,53,113,55,1,13.58,2
110,96,104,55,1,64.97,0
102,106,72,55,1,87.69,0
69,68,84,55,1,25.64,0
97,44,77,55,1,19.11,2
105,49,132,55,1,10.0,2
82,96,114,55,1,51.91,0
79,85,62,55,1,74.91,0
60,60,112,55,1,90.0,0
66,89,109,55,1,58.69,0
62,49,121,55,1,42.26,2
111,79,59,55,1,50.36,3
102,83,96,55,1,83.73,0
115,47,67,55,1,62.85,2
108,109,90,55,1,10.0,0
61,71,124,55,1,54.08,0
69,93,118,55,1,48.78,0
109,66,126,55,1,52.82,2
83,98,126,55,1,61.54,0
83,64,53,55,1,90.0,3
97,52,46,55,1,77.09,3
87,73,135,55,1,50.01,0
88,61,71,55,1,41.56,0
119,87,48,55,1,52.19,3
97,77,114,55,1,63.62,0
97,51,56,55,1,19.65,3
99,83,109,55,1,30.53,0
101,83,120,55,1,10.0,0
107,108,112,55,1,90.0,0
62,82,114,55,1,25.59,0
83,109,105,55,1,90.0,0
111,56,46,55,1,70.91,3
94,60,52,55,1,10.0,3
60,83,104,55,1,22.47,0
96,42,108,55,1,33.8,2
63,48,103,55,1,60.04,2
104,93,97,55,1,90.0,0
60,94,101,55,1,73.99,0
115,45,103,55,1,51.92,2
85,95,77,55,1,57.73,0
87,108,42,55,1,54.19,3
96,43,83,55,1,90.0,2
108,108,135,55,1,36.7,0
61,81,45,55,1,54.91,3
116,56,97,55,1,90.0,2
67,67,58,55,1,10.0,3
