Timestamp,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec
2026-07-04T01:32:00Z,82.5,25.3,24.8,58.0,91,190,102,1750
2026-07-04T01:37:00Z,80.5,25.2,24.8,57.1,93,187,101,1750
2026-07-04T01:42:00Z,77.9,25.6,25.3,53.5,91,190,101,1750
2026-07-04T01:47:00Z,78.2,25.8,25.0,55.4,94,188,103,1750
2026-07-04T01:52:00Z,75.1,26.0,26.0,51.5,93,189,100,1758
2026-07-04T01:57:00Z,76.5,25.6,25.7,54.1,92,186,103,1750
2026-07-04T02:02:00Z,76.8,25.7,25.7,52.8,94,186,102,1757
2026-07-04T02:07:00Z,72.7,25.8,26.3,51.9,94,187,103,1754
2026-07-04T02:12:00Z,72.1,26.1,26.7,50.7,93,189,103,1760
2026-07-04T02:17:00Z,69.6,26.1,26.9,48.4,93,186,101,1762
2026-07-04T02:22:00Z,71.6,26.2,26.6,49.4,92,187,101,1761
2026-07-04T02:27:00Z,69.9,26.2,27.1,49.8,92,186,103,1750
2026-07-04T02:32:00Z,69.1,26.1,27.2,51.1,91,188,102,1760
2026-07-04T02:37:00Z,67.0,26.8,27.4,46.2,91,187,101,1757
2026-07-04T02:42:00Z,65.9,26.5,28.1,45.8,91,187,102,1773
2026-07-04T02:47:00Z,64.9,26.7,27.7,47.0,92,186,102,1764
2026-07-04T02:52:00Z,66.4,26.4,27.7,47.6,94,186,102,1765
2026-07-04T02:57:00Z,64.4,26.8,28.8,40.8,92,185,102,1761
2026-07-04T03:02:00Z,64.8,26.9,29.2,43.6,94,187,101,1760
2026-07-04T03:07:00Z,65.6,26.4,28.8,40.9,93,189,101,1777
2026-07-04T03:12:00Z,63.2,26.9,28.6,45.5,92,186,102,1760
2026-07-04T03:17:00Z,63.8,26.7,29.0,42.8,93,186,102,1753
2026-07-04T03:22:00Z,64.0,27.0,29.4,40.0,92,188,101,1750
2026-07-04T03:27:00Z,62.7,27.0,29.1,42.2,93,186,101,1761
2026-07-04T03:32:00Z,62.7,26.9,29.4,40.0,95,187,103,1777
2026-07-04T03:37:00Z,62.4,26.9,29.6,40.6,92,187,101,1761
2026-07-04T03:42:00Z,63.1,26.9,30.1,40.0,92,186,101,1772
2026-07-04T03:47:00Z,62.8,27.4,30.1,40.0,93,187,102,1750
2026-07-04T03:52:00Z,62.2,27.3,30.0,40.0,93,189,102,1757
2026-07-04T03:57:00Z,60.9,27.3,30.3,40.0,93,187,103,1753
2026-07-04T04:02:00Z,60.8,27.2,30.5,40.0,91,188,103,1756
2026-07-04T04:07:00Z,59.7,27.2,30.5,40.0,93,187,102,1765
2026-07-04T04:12:00Z,60.0,27.3,31.0,40.0,94,188,102,1772
2026-07-04T04:17:00Z,61.2,27.5,31.2,40.0,93,187,103,1758
2026-07-04T04:22:00Z,0.0,27.7,26.3,87.2,0,0,0,0
2026-07-04T04:27:00Z,90.1,27.1,31.0,40.0,94,189,103,1779
2026-07-04T04:32:00Z,90.4,27.0,31.5,40.0,92,187,104,1776
2026-07-04T04:37:00Z,91.0,26.9,31.7,40.0,92,188,102,1753
2026-07-04T04:42:00Z,86.9,27.5,31.6,40.0,92,187,102,1750
2026-07-04T04:47:00Z,84.1,27.3,31.7,40.0,94,186,101,1750
2026-07-04T04:52:00Z,86.1,27.0,32.1,40.0,91,188,102,1750
2026-07-04T04:57:00Z,83.3,27.3,32.2,40.0,94,187,103,1750
2026-07-04T05:02:00Z,82.7,27.4,32.7,40.0,93,186,101,1756
2026-07-04T05:07:00Z,81.8,27.6,32.1,40.0,93,185,102,1750
2026-07-04T05:12:00Z,80.6,27.2,32.6,40.0,92,189,102,1760
2026-07-04T05:17:00Z,77.9,27.8,32.8,40.0,92,186,102,1750
2026-07-04T05:22:00Z,77.1,27.7,32.9,40.0,93,189,102,1754
2026-07-04T05:27:00Z,79.1,27.4,32.7,40.0,93,187,102,1763
2026-07-04T05:32:00Z,76.8,27.8,32.6,40.0,92,187,101,1762
2026-07-04T05:37:00Z,75.2,27.8,33.3,40.0,92,187,102,1763
2026-07-04T05:42:00Z,74.6,27.7,33.5,40.0,92,186,100,1756
2026-07-04T05:47:00Z,74.0,27.8,32.9,40.0,92,187,102,1768
2026-07-04T05:52:00Z,75.1,27.7,33.3,40.0,92,186,101,1757
2026-07-04T05:57:00Z,71.5,28.1,33.5,40.0,92,187,103,1757
2026-07-04T06:02:00Z,73.1,27.8,33.2,40.0,93,185,101,1771
2026-07-04T06:07:00Z,72.4,27.5,33.3,40.0,93,186,103,1773
2026-07-04T06:12:00Z,71.0,27.9,32.5,40.0,91,185,102,1764
2026-07-04T06:17:00Z,70.5,27.9,33.4,40.0,91,187,102,1767
2026-07-04T06:22:00Z,70.5,27.9,33.6,40.0,91,185,101,1775
2026-07-04T06:27:00Z,69.2,27.9,33.3,40.0,92,185,101,1769
2026-07-04T06:32:00Z,69.1,28.0,33.6,40.0,92,183,101,1764
2026-07-04T06:37:00Z,70.2,27.8,33.2,40.0,91,186,102,1759
2026-07-04T06:42:00Z,68.2,28.0,33.3,40.0,92,183,101,1780
2026-07-04T06:47:00Z,68.5,28.0,33.9,40.0,92,185,102,1779
2026-07-04T06:52:00Z,67.3,28.0,33.4,40.0,91,187,101,1778
2026-07-04T06:57:00Z,67.5,27.9,34.0,40.0,92,186,101,1759
2026-07-04T07:02:00Z,66.6,28.0,34.0,40.0,92,185,101,1763
2026-07-04T07:07:00Z,66.2,28.2,33.5,40.0,93,186,101,1768
2026-07-04T07:12:00Z,65.5,28.1,33.6,40.0,93,185,100,1776
2026-07-04T07:17:00Z,0.0,28.2,27.1,84.0,0,0,0,0
2026-07-04T07:22:00Z,64.9,27.7,34.0,40.0,92,186,100,1785
2026-07-04T07:27:00Z,65.7,28.1,33.2,40.0,92,184,100,1786
2026-07-04T07:32:00Z,66.2,28.3,33.9,40.0,91,185,98,1796
2026-07-04T07:37:00Z,65.2,28.0,33.1,40.0,93,185,100,1793
2026-07-04T07:42:00Z,63.9,28.2,33.1,40.0,93,186,100,1781
2026-07-04T07:47:00Z,64.7,27.8,32.6,40.0,92,187,98,1783
2026-07-04T07:52:00Z,64.3,28.1,32.9,40.0,92,186,101,1789
2026-07-04T07:57:00Z,64.0,28.3,33.5,40.0,91,187,99,1801
2026-07-04T08:02:00Z,63.0,28.2,33.5,40.0,91,187,101,1784
2026-07-04T08:07:00Z,62.5,27.9,33.0,40.0,92,186,100,1792
2026-07-04T08:12:00Z,61.8,28.0,33.1,40.0,91,186,100,1803
2026-07-04T08:17:00Z,62.7,27.8,32.8,40.0,91,185,100,1803
2026-07-04T08:22:00Z,62.2,28.1,32.4,40.0,91,187,99,1788
2026-07-04T08:27:00Z,62.9,27.9,32.6,40.0,91,186,99,1804
2026-07-04T08:32:00Z,61.8,27.7,32.9,40.0,93,186,99,1794
2026-07-04T08:37:00Z,62.3,27.6,32.5,40.0,91,187,100,1792
2026-07-04T08:42:00Z,60.9,28.1,32.5,40.0,91,184,99,1791
2026-07-04T08:47:00Z,60.6,27.9,32.3,40.0,92,187,100,1803
2026-07-04T08:52:00Z,62.5,27.6,32.2,40.0,92,185,99,1815
2026-07-04T08:57:00Z,62.4,27.9,31.9,40.0,91,185,100,1801
2026-07-04T09:02:00Z,60.3,27.4,31.9,40.0,92,184,99,1807
2026-07-04T09:07:00Z,60.6,27.9,31.7,40.0,91,186,99,1800
2026-07-04T09:12:00Z,60.4,27.7,32.1,40.0,91,185,99,1798
2026-07-04T09:17:00Z,61.8,27.7,31.7,40.0,91,185,99,1814
2026-07-04T09:22:00Z,60.8,27.6,31.4,40.0,92,186,99,1806
2026-07-04T09:27:00Z,61.2,27.6,31.3,40.0,92,188,99,1793
2026-07-04T09:32:00Z,60.8,27.5,31.1,40.0,91,187,99,1794
2026-07-04T09:37:00Z,60.7,27.6,31.0,40.0,91,185,101,1800
2026-07-04T09:42:00Z,61.0,27.5,30.8,40.0,92,185,99,1795
2026-07-04T09:47:00Z,58.9,27.5,31.1,40.0,90,186,99,1795
