jam,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec,irrigation_action
0,55.0,27.6,25.2,78.9,62.7,86.9,104.9,2.5,0
1,52.2,26.1,24.6,80.2,64.5,91.1,102.7,2.33,0
2,50.5,25.8,24.3,76.8,62.9,92.3,107.9,2.25,0
3,49.6,25.0,24.6,79.5,62.1,92.0,110.8,2.24,0
4,49.4,26.5,23.9,78.9,63.5,88.0,114.1,2.23,0
5,48.0,25.4,23.0,79.6,62.8,86.6,113.4,2.2,0
6,58.8,25.6,25.2,75.9,63.2,88.2,112.1,2.18,1
7,57.5,24.8,25.8,74.2,63.1,86.6,114.2,2.29,0
8,55.0,25.0,27.1,73.5,62.7,86.7,108.2,2.37,0
9,53.6,25.4,28.8,70.6,64.0,86.3,111.9,2.47,0
10,51.2,25.1,30.2,70.5,61.9,88.1,114.0,2.43,0
11,48.8,26.3,32.0,66.3,62.7,88.4,110.6,2.49,0
12,58.1,27.3,32.3,67.1,63.8,94.7,113.4,2.52,1
13,57.2,28.1,32.1,66.4,64.4,95.6,110.7,2.71,0
14,55.3,29.0,31.3,66.2,66.3,92.4,110.0,2.85,0
15,65.3,29.0,30.8,58.3,67.4,90.8,110.3,2.8,1
16,63.4,28.8,31.4,64.1,65.5,91.6,108.1,2.82,0
17,61.0,28.6,31.7,67.5,65.7,96.2,106.2,2.72,0
18,60.5,28.6,30.0,65.6,66.3,94.6,106.1,2.59,0
19,58.7,29.4,29.2,68.6,68.4,95.3,110.9,2.49,0
20,56.2,28.4,28.8,72.4,72.6,94.2,109.1,2.35,0
21,55.8,28.0,26.4,72.9,73.0,88.7,106.2,2.33,0
22,54.4,28.3,26.5,73.8,73.5,92.1,104.3,2.37,0
23,53.3,27.4,26.4,79.1,73.5,88.7,105.1,2.55,0
0,52.3,27.0,26.0,76.6,69.4,85.2,102.7,2.66,0
1,51.7,25.9,24.6,80.5,70.7,85.1,102.2,2.61,0
2,49.7,26.4,24.6,79.2,68.0,85.0,101.3,2.54,0
3,47.8,25.2,24.3,80.0,65.2,86.8,100.6,2.48,0
4,47.4,25.3,24.6,79.4,65.3,86.4,102.0,2.55,0
5,46.1,24.7,23.4,78.0,66.3,95.0,99.3,2.54,0
6,56.0,25.7,25.4,77.7,66.0,96.4,99.7,2.4,1
7,53.8,25.2,24.8,73.5,67.8,96.2,99.7,2.47,0
8,51.6,25.0,25.2,74.5,70.7,95.1,99.3,2.58,0
9,48.9,25.1,28.2,70.8,72.8,94.6,101.8,2.63,0
10,46.6,25.8,29.3,67.2,76.0,90.5,103.0,2.64,0
11,44.2,26.7,31.8,67.3,74.5,87.3,108.8,2.5,0
12,54.9,26.6,32.3,62.6,75.4,85.5,106.4,2.44,1
13,53.2,28.3,31.0,60.5,76.2,84.1,107.6,2.43,0
14,51.0,28.9,32.6,64.9,74.1,86.1,111.5,2.29,0
15,60.0,28.8,30.9,62.2,73.4,89.1,112.3,2.29,1
16,57.6,29.1,31.2,63.0,72.9,90.8,113.3,2.22,0
17,56.5,29.4,30.4,66.9,73.1,88.4,114.0,2.24,0
18,56.2,29.1,30.1,69.7,73.7,86.8,115.4,2.17,0
19,55.9,28.7,29.9,68.1,71.1,86.5,117.9,2.08,0
20,54.3,28.1,28.9,69.6,72.1,82.5,121.5,2.07,0
21,53.4,27.8,27.9,75.5,73.0,83.7,120.7,1.99,0
22,51.9,27.6,27.3,71.9,76.5,83.8,120.8,2.06,0
23,50.2,26.4,26.4,77.5,76.4,87.7,116.3,2.1,0
0,50.4,26.9,24.8,78.1,76.5,90.5,115.6,2.09,0
1,50.2,25.9,24.2,77.2,77.0,86.8,112.0,1.98,0
2,50.0,26.1,24.0,79.1,78.5,86.9,111.4,1.86,0
3,49.1,25.7,24.5,78.3,80.6,82.2,107.3,1.95,0
4,47.5,25.2,23.8,78.8,79.5,84.0,104.3,1.87,0
5,47.0,24.5,26.1,79.2,78.3,83.5,103.3,2.1,0
6,57.7,25.2,24.3,76.9,77.6,84.2,103.9,2.03,1
7,55.8,25.1,25.1,73.0,78.8,84.1,104.9,2.16,0
8,52.7,25.2,27.9,74.7,78.1,81.8,104.8,1.99,0
9,50.5,25.6,29.8,69.5,77.1,81.2,105.0,2.05,0
10,49.8,25.7,30.4,69.4,75.3,81.9,104.8,1.88,0
11,48.5,27.1,31.7,65.6,75.3,80.1,102.4,1.98,0
12,57.6,27.4,32.9,69.5,74.4,77.9,105.8,2.0,1
13,56.1,28.3,31.9,65.0,70.2,75.0,106.1,1.82,0
14,54.9,28.2,30.8,61.8,68.9,75.3,107.9,1.67,0
15,65.8,28.6,31.2,62.2,64.9,75.2,111.4,1.59,1
16,63.8,29.1,32.0,63.9,66.1,78.1,113.4,1.59,0
17,61.0,29.1,29.5,65.9,66.4,76.5,110.9,1.6,0
18,60.0,28.8,30.0,65.0,61.8,75.8,110.6,1.78,0
19,59.5,29.1,29.4,67.5,62.2,74.0,108.7,1.8,0
20,58.1,27.7,28.2,71.2,61.5,71.3,109.9,1.82,0
21,57.4,28.0,28.2,70.0,63.5,68.5,113.3,1.9,0
22,56.4,27.1,27.2,74.3,62.6,72.2,112.3,1.96,0
23,56.0,27.9,27.9,76.4,63.4,72.6,111.9,2.0,0
0,54.9,26.9,25.8,75.5,59.3,72.8,113.3,2.17,0
1,54.0,27.0,24.3,79.6,57.6,72.5,115.5,2.12,0
2,53.2,26.6,23.9,79.5,53.5,73.8,118.6,2.1,0
3,52.5,25.4,23.4,81.8,53.5,69.3,118.3,2.01,0
4,52.3,25.2,24.8,81.2,55.1,73.4,117.8,1.92,0
5,51.8,25.7,23.8,79.1,56.9,73.5,118.7,1.94,0
6,60.8,24.7,24.9,77.8,60.6,73.8,119.2,1.96,1
7,60.2,24.9,26.6,76.8,62.6,73.8,120.3,1.91,0
8,58.5,25.0,26.7,74.1,66.7,73.6,118.7,2.0,0
