jam,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec,plant_age,fase,recommendation
0,55.0,27.6,25.2,78.9,62.7,86.9,104.9,2.5,0,establishment,0
1,52.2,26.1,24.6,80.2,64.5,91.1,102.7,2.33,0,establishment,0
2,50.5,25.8,24.3,76.8,62.9,92.3,107.9,2.25,0,establishment,0
3,49.6,25.0,24.6,79.5,62.1,92.0,110.8,2.24,0,establishment,0
4,49.4,26.5,23.9,78.9,63.5,88.0,114.1,2.23,0,establishment,0
5,48.0,25.4,23.0,79.6,62.8,86.6,113.4,2.2,0,establishment,2
6,58.8,25.6,25.2,75.9,63.2,88.2,112.1,2.18,0,establishment,0
7,57.5,24.8,25.8,74.2,63.1,86.6,114.2,2.29,0,establishment,0
8,55.0,25.0,27.1,73.5,62.7,86.7,108.2,2.37,0,establishment,0
9,53.6,25.4,28.8,70.6,64.0,86.3,111.9,2.47,0,establishment,0
10,51.2,25.1,30.2,70.5,61.9,88.1,114.0,2.43,0,establishment,0
11,48.8,26.3,32.0,66.3,62.7,88.4,110.6,2.49,0,establishment,0
12,58.1,27.3,32.3,67.1,63.8,94.7,113.4,2.52,0,establishment,0
13,57.2,28.1,32.1,66.4,64.4,95.6,110.7,2.71,0,establishment,0
14,55.3,29.0,31.3,66.2,66.3,92.4,110.0,2.85,0,establishment,0
15,65.3,29.0,30.8,58.3,67.4,90.8,110.3,2.8,0,establishment,0
16,63.4,28.8,31.4,64.1,65.5,91.6,108.1,2.82,0,establishment,0
17,61.0,28.6,31.7,67.5,65.7,96.2,106.2,2.72,0,establishment,0
18,60.5,28.6,30.0,65.6,66.3,94.6,106.1,2.59,0,establishment,0
19,58.7,29.4,29.2,68.6,68.4,95.3,110.9,2.49,0,establishment,0
20,56.2,28.4,28.8,72.4,72.6,94.2,109.1,2.35,0,establishment,0
21,55.8,28.0,26.4,72.9,73.0,88.7,106.2,2.33,0,establishment,0
22,54.4,28.3,26.5,73.8,73.5,92.1,104.3,2.37,0,establishment,0
23,53.3,27.4,26.4,79.1,73.5,88.7,105.1,2.55,0,establishment,0
0,52.3,27.0,26.0,76.6,69.4,85.2,102.7,2.66,1,establishment,3
1,51.7,25.9,24.6,80.5,70.7,85.1,102.2,2.61,1,establishment,0
2,49.7,26.4,24.6,79.2,68.0,85.0,101.3,2.54,1,establishment,0
3,47.8,25.2,24.3,80.0,65.2,86.8,100.6,2.48,1,establishment,0
4,47.4,25.3,24.6,79.4,65.3,86.4,102.0,2.55,1,establishment,0
5,46.1,24.7,23.4,78.0,66.3,95.0,99.3,2.54,1,establishment,0
6,56.0,25.7,25.4,77.7,66.0,96.4,99.7,2.4,1,establishment,0
7,53.8,25.2,24.8,73.5,67.8,96.2,99.7,2.47,1,establishment,0
8,51.6,25.0,25.2,74.5,70.7,95.1,99.3,2.58,1,establishment,0
9,48.9,25.1,28.2,70.8,72.8,94.6,101.8,2.63,1,establishment,0
10,46.6,25.8,29.3,67.2,76.0,90.5,103.0,2.64,1,establishment,0
11,44.2,26.7,31.8,67.3,74.5,87.3,108.8,2.5,1,establishment,0
12,54.9,26.6,32.3,62.6,75.4,85.5,106.4,2.44,1,establishment,0
13,53.2,28.3,31.0,60.5,76.2,84.1,107.6,2.43,1,establishment,0
14,51.0,28.9,32.6,64.9,74.1,86.1,111.5,2.29,1,establishment,0
15,60.0,28.8,30.9,62.2,73.4,89.1,112.3,2.29,1,establishment,0
16,57.6,29.1,31.2,63.0,72.9,90.8,113.3,2.22,1,establishment,0
17,56.5,29.4,30.4,66.9,73.1,88.4,114.0,2.24,1,establishment,0
18,56.2,29.1,30.1,69.7,73.7,86.8,115.4,2.17,1,establishment,0
19,55.9,28.7,29.9,68.1,71.1,86.5,117.9,2.08,1,establishment,0
20,54.3,28.1,28.9,69.6,72.1,82.5,121.5,2.07,1,establishment,0
21,53.4,27.8,27.9,75.5,73.0,83.7,120.7,1.99,1,establishment,0
22,51.9,27.6,27.3,71.9,76.5,83.8,120.8,2.06,1,establishment,0
23,50.2,26.4,26.4,77.5,76.4,87.7,116.3,2.1,1,establishment,0
0,50.4,26.9,24.8,78.1,76.5,90.5,115.6,2.09,2,establishment,0
1,50.2,25.9,24.2,77.2,77.0,86.8,112.0,1.98,2,establishment,0
2,50.0,26.1,24.0,79.1,78.5,86.9,111.4,1.86,2,establishment,0
3,49.1,25.7,24.5,78.3,80.6,82.2,107.3,1.95,2,establishment,0
4,47.5,25.2,23.8,78.8,79.5,84.0,104.3,1.87,2,establishment,0
5,47.0,24.5,26.1,79.2,78.3,83.5,103.3,2.1,2,establishment,0
6,57.7,25.2,24.3,76.9,77.6,84.2,103.9,2.03,2,establishment,0
7,55.8,25.1,25.1,73.0,78.8,84.1,104.9,2.16,2,establishment,0
8,52.7,25.2,27.9,74.7,78.1,81.8,104.8,1.99,2,establishment,0
9,50.5,25.6,29.8,69.5,77.1,81.2,105.0,2.05,2,establishment,0
10,49.8,25.7,30.4,69.4,75.3,81.9,104.8,1.88,2,establishment,0
11,48.5,27.1,31.7,65.6,75.3,80.1,102.4,1.98,2,establishment,0
12,57.6,27.4,32.9,69.5,74.4,77.9,105.8,2.0,2,establishment,2
13,56.1,28.3,31.9,65.0,70.2,75.0,106.1,1.82,2,establishment,2
14,54.9,28.2,30.8,61.8,68.9,75.3,107.9,1.67,2,establishment,2
15,65.8,28.6,31.2,62.2,64.9,75.2,111.4,1.59,2,establishment,2
16,63.8,29.1,32.0,63.9,66.1,78.1,113.4,1.59,2,establishment,2
17,61.0,29.1,29.5,65.9,66.4,76.5,110.9,1.6,2,establishment,2
18,60.0,28.8,30.0,65.0,61.8,75.8,110.6,1.78,2,establishment,2
19,59.5,29.1,29.4,67.5,62.2,74.0,108.7,1.8,2,establishment,2
20,58.1,27.7,28.2,71.2,61.5,71.3,109.9,1.82,2,establishment,2
21,57.4,28.0,28.2,70.0,63.5,68.5,113.3,1.9,2,establishment,2
22,56.4,27.1,27.2,74.3,62.6,72.2,112.3,1.96,2,establishment,2
23,56.0,27.9,27.9,76.4,63.4,72.6,111.9,2.0,2,establishment,2
0,54.9,26.9,25.8,75.5,59.3,72.8,113.3,2.17,3,establishment,2
1,54.0,27.0,24.3,79.6,57.6,72.5,115.5,2.12,3,establishment,2
2,53.2,26.6,23.9,79.5,53.5,73.8,118.6,2.1,3,establishment,2
3,52.5,25.4,23.4,81.8,53.5,69.3,118.3,2.01,3,establishment,2
4,52.3,25.2,24.8,81.2,55.1,73.4,117.8,1.92,3,establishment,2
5,51.8,25.7,23.8,79.1,56.9,73.5,118.7,1.94,3,establishment,2
6,60.8,24.7,24.9,77.8,60.6,73.8,119.2,1.96,3,establishment,2
7,60.2,24.9,26.6,76.8,62.6,73.8,120.3,1.91,3,establishment,2
8,58.5,25.0,26.7,74.1,66.7,73.6,118.7,2.0,3,establishment,2
9,56.3,25.0,28.5,67.6,65.7,73.5,118.2,1.82,3,establishment,2
10,54.5,26.8,28.5,69.7,66.6,70.6,122.1,1.83,3,establishment,2
11,52.3,26.9,30.2,64.9,69.3,71.1,121.0,1.77,3,establishment,2
12,62.1,27.2,31.3,66.5,71.6,71.5,116.3,1.82,3,establishment,2
13,60.0,27.5,32.3,64.3,72.3,73.5,115.5,1.83,3,establishment,2
14,57.8,28.5,32.9,63.0,73.4,77.1,119.1,1.9,3,establishment,2
15,67.8,29.1,31.6,64.7,67.9,72.7,119.5,1.89,3,establishment,2
16,65.6,29.7,31.4,68.1,69.8,73.3,117.2,1.98,3,establishment,2
17,63.3,29.8,30.8,65.3,69.8,75.0,122.3,2.02,3,establishment,2
18,62.5,28.9,30.9,64.9,69.6,73.9,123.0,2.0,3,establishment,2
19,61.2,29.3,30.0,69.1,69.9,76.2,125.2,2.06,3,establishment,2
20,59.9,28.4,28.6,73.4,72.3,73.8,123.4,1.97,3,establishment,2
21,58.3,28.4,26.8,75.7,71.9,72.6,123.7,2.09,3,establishment,2
22,57.0,27.7,27.5,76.3,68.3,71.5,127.1,2.15,3,establishment,0
23,55.7,27.0,26.3,72.2,67.9,72.8,127.1,1.98,3,establishment,2
0,54.9,27.4,26.3,76.9,68.4,72.9,125.0,2.06,4,establishment,2
1,53.9,26.3,24.7,77.6,70.3,74.2,126.1,1.94,4,establishment,2
2,52.4,25.7,25.9,79.0,68.3,74.9,123.3,1.97,4,establishment,2
3,51.4,25.3,23.8,77.9,63.7,77.3,124.6,2.17,4,establishment,2
4,50.5,25.7,25.3,79.5,60.0,75.8,121.2,2.16,4,establishment,2
5,48.9,25.5,24.3,77.4,58.7,74.8,117.2,2.22,4,establishment,2
6,58.9,25.4,24.5,82.3,61.7,76.6,116.0,2.11,4,establishment,2
7,56.8,25.1,25.1,76.1,62.3,75.5,114.4,2.0,4,establishment,2
8,55.2,24.6,27.2,72.5,65.0,80.0,118.2,1.91,4,establishment,0
9,53.0,26.0,29.8,68.4,67.2,81.0,119.0,1.96,4,establishment,0
10,50.4,26.3,30.7,69.7,69.4,84.1,119.4,1.96,4,establishment,0
11,48.8,26.8,31.6,66.9,71.6,86.4,120.4,2.13,4,establishment,0
12,59.3,27.0,29.9,66.6,71.2,87.8,119.5,2.36,4,establishment,0
13,57.8,27.7,32.6,64.6,70.2,87.7,121.7,2.45,4,establishment,0
14,55.2,28.8,32.4,63.3,69.8,85.8,122.9,2.44,4,establishment,0
15,64.7,28.6,31.2,63.4,70.5,85.8,127.2,2.42,4,establishment,0
16,62.4,29.3,30.7,64.2,69.7,87.8,124.8,2.43,4,establishment,0
17,60.1,29.0,30.7,65.9,68.2,87.4,126.8,2.26,4,establishment,0
18,59.1,29.0,31.4,69.2,69.3,88.6,124.6,2.26,4,establishment,0
19,58.7,29.0,28.4,68.5,74.3,89.8,120.5,2.33,4,establishment,0
20,57.0,28.7,28.1,71.7,75.7,92.6,120.1,2.47,4,establishment,0
21,56.7,28.1,28.7,74.2,73.4,92.4,124.2,2.57,4,establishment,0
22,54.4,27.3,26.4,73.7,72.3,92.7,122.7,2.57,4,establishment,0
23,55.0,27.1,25.7,77.8,73.6,96.2,121.0,2.48,4,establishment,0
0,53.2,27.3,25.4,78.1,74.8,93.4,120.1,2.55,5,establishment,0
1,50.9,26.5,23.8,79.2,72.8,95.0,117.3,2.41,5,establishment,0
2,49.3,26.7,24.5,79.3,73.5,97.9,123.3,2.43,5,establishment,0
3,49.3,25.1,23.1,80.1,72.7,98.2,121.3,2.38,5,establishment,0
4,48.7,26.0,24.7,78.5,73.5,95.5,123.3,2.32,5,establishment,0
5,49.1,24.8,24.2,78.0,74.9,95.6,123.5,2.2,5,establishment,0
6,59.3,24.5,26.8,78.6,72.7,97.5,119.0,2.13,5,establishment,0
7,57.1,24.6,26.2,77.6,70.6,101.5,117.1,2.18,5,establishment,0
8,54.7,24.7,28.4,73.0,75.7,103.6,117.6,2.27,5,establishment,0
9,53.1,26.1,27.7,71.5,74.0,101.7,115.9,2.28,5,establishment,0
10,51.0,25.6,29.9,67.6,72.9,98.0,118.3,2.17,5,establishment,0
11,48.7,26.8,31.3,64.5,72.6,96.2,116.1,2.22,5,establishment,0
12,58.8,27.3,33.2,64.5,69.8,97.0,116.5,2.32,5,establishment,0
13,57.7,27.4,30.7,64.7,72.8,98.5,118.5,2.24,5,establishment,0
14,56.8,28.7,32.7,62.9,73.0,96.4,117.4,2.2,5,establishment,0
15,65.9,28.9,32.1,63.6,70.3,95.7,118.4,2.35,5,establishment,0
16,65.0,28.5,32.5,64.6,70.0,96.9,119.4,2.31,5,establishment,0
